simbad_id,ra_deg,dec_deg,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,V_mag,B_mag,R_mag,I_mag,spectral_type,mesvar.bibcode,mesvar.epoch,mesvar.epoch_prec,mesvar.lowvmax,mesvar.magtyp,mesvar.mespos,mesvar.period,mesvar.period_prec,mesvar.raisingtime,mesvar.raisingtime_prec,mesvar.r_epoch,mesvar.r_period,mesvar.r_raisingtime,mesvar.r_vmax,mesvar.r_vmin,mesvar.upperiod,mesvar.uppvmin,mesvar.vartyp,mesvar.vmax,mesvar.vmax_prec,mesvar.vmin,mesvar.vmin_prec,parallax_mas,pmra_mas_yr,pmdec_mas_yr,simbad_otype,field,stable
COSMOS J100237.53+013431.0,150.65637580161,1.5752684100799998,0.2372,0.2594,90,O,2020yCat.1350....0G,19.336000442504883,19.895999908447266,,,,,,,,,,,,,,,,,,,,,,,,,,0.254,1.487,-3.398,*,COSMOS,True
COSMOS 178054,150.15578223922,1.5863431586599999,0.2421,0.1947,90,O,2020yCat.1350....0G,19.46500015258789,20.000999450683594,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.39,-0.796,*,COSMOS,True
COSMOS 2102226,149.66971632832,2.3685754858,0.4586,0.2767,90,O,2020yCat.1350....0G,20.187999725341797,21.183000564575195,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.406,-4.981,*,COSMOS,True
COSMOS 291174,149.6309603265,1.5705959029499998,0.9292,0.9467,90,O,2020yCat.1350....0G,20.913000106811523,21.29400062561035,,,,,,,,,,,,,,,,,,,,,,,,,,,4.253,-10.761,*,COSMOS,True
COSMOS 2606192,150.45083641221,2.74122162235,0.5091,0.4737,90,O,2020yCat.1350....0G,20.795000076293945,21.815000534057617,,,,,,,,,,,,,,,,,,,,,,,,,,1.5694,-27.462,-3.988,*,COSMOS,True
COSMOS 2624657,150.53477264902,2.66501283773,0.5589,0.895,90,O,2020yCat.1350....0G,20.84000015258789,21.8799991607666,,,,,,,,,,,,,,,,,,,,,,,,,,1.7122,-3.472,-12.167,*,COSMOS,True
COSMOS 894928,150.10730457619,1.9010361915700005,0.3816,0.364,90,O,2020yCat.1350....0G,20.996999740600586,22.139999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,0.9638,-9.458,-7.835,*,COSMOS,True
COSMOS 930706,149.97606084519,1.9146595889399998,0.5274,0.382,90,O,2020yCat.1350....0G,20.89699935913086,22.08799934387207,,,,,,,,,,,,,,,,,,,,,,,,,,1.2983,-10.566,1.667,*,COSMOS,True
COSMOS 1014787,149.63221474309,1.8862670381400004,0.1642,0.1973,90,O,2020yCat.1350....0G,18.582000732421875,18.87299919128418,,,,,,,,,,,,,,,,,,,,,,,,,,0.5239,2.235,-10.585,*,COSMOS,True
2MASS J10025238+0250419,150.7182549954655,2.8449848857008,0.4058,0.3167,90,O,2018yCat.1345....0G,18.632999420166016,19.731000900268555,,,,,,,,,,,,,,,,,,,,,,,,,,0.9688,-3.587,-13.459,*,COSMOS,True
