simbad_id,ra_deg,dec_deg,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,V_mag,B_mag,R_mag,I_mag,spectral_type,mesvar.bibcode,mesvar.epoch,mesvar.epoch_prec,mesvar.lowvmax,mesvar.magtyp,mesvar.mespos,mesvar.period,mesvar.period_prec,mesvar.raisingtime,mesvar.raisingtime_prec,mesvar.r_epoch,mesvar.r_period,mesvar.r_raisingtime,mesvar.r_vmax,mesvar.r_vmin,mesvar.upperiod,mesvar.uppvmin,mesvar.vartyp,mesvar.vmax,mesvar.vmax_prec,mesvar.vmin,mesvar.vmin_prec,parallax_mas,pmra_mas_yr,pmdec_mas_yr,simbad_otype,field,stable
[MBR2003] CDFS-H  333,53.08833567698001,-27.615774328639997,0.0594,0.1019,90,O,2020yCat.1350....0G,18.649999618530273,19.190000534057617,,,,,,,,,,,,,,,,,,,,,,,,,,0.4754,5.288,-18.019,*,ECDFS,True
[MBR2003] CDFS-H  451,53.14729879712,-27.61771333149,0.0994,0.1814,90,O,2020yCat.1350....0G,19.399999618530273,19.780000686645508,,,,,,,,,,,,,,,,,,,,,,,,,,,0.575,-0.549,*,ECDFS,True
[WDK2001] 17240,53.30159604055999,-27.93474941739,0.0489,0.0821,90,O,2020yCat.1350....0G,18.190000534057617,18.6299991607666,18.100000381469727,,,,,,,,,,,,,,,,,,,,,,,,,0.2295,6.303,-3.35,*,ECDFS,True
[MBR2003] CDFS-H 4478,53.03896565621,-27.959442714049995,0.1191,0.2203,90,O,2020yCat.1350....0G,19.649999618530273,20.031999588012695,19.47100067138672,,,,,,,,,,,,,,,,,,,,,,,,,0.1547,9.244,-2.225,*,ECDFS,True
VCDFS  37019,53.23674375765,-27.667290131010006,0.0746,0.124,90,O,2020yCat.1350....0G,19.6200008392334,20.649999618530273,,17.920000076293945,,,,,,,,,,,,,,,,,,,,,,,,0.8969,3.379,5.429,*,ECDFS,True
[GGH2002] EIS J033310.18-274338.9,53.29243721363999,-27.727470634460005,7.1653,13.2597,90,O,2020yCat.1350....0G,19.670000076293945,20.190000534057617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,ECDFS,True
2MASS J03331606-2739029,53.31697356079,-27.650814195250003,0.0691,0.1152,90,O,2020yCat.1350....0G,19.90999984741211,20.959999084472656,18.920000076293945,,,,,,,,,,,,,,,,,,,,,,,,,2.8755,12.203,9.114,*,ECDFS,True
[GGH2002] EIS J033322.96-280348.9,53.34567898366,-28.06356666041,0.0683,0.1055,90,O,2020yCat.1350....0G,18.760000228881836,19.399999618530273,,,,,,,,,,,,,,,,,,,,,,,,,,0.6525,23.895,-12.485,*,ECDFS,True
2MASS J03333845-2804142,53.41022495823,-28.07065392464,0.0353,0.0557,90,O,2020yCat.1350....0G,17.969999313354492,18.739999771118164,,,,,,,,,,,,,,,,,,,,,,,,,,0.7298,19.222,1.234,*,ECDFS,True
[GGH2002] EIS J033342.41-280253.0,53.42665526471,-28.048040649890005,0.052,0.0818,90,O,2020yCat.1350....0G,18.3799991607666,18.959999084472656,,,,,,,,,,,,,,,,,,,,,,,,,,0.471,6.858,-0.98,*,ECDFS,True
[GGH2002] EIS J033334.26-280019.6,53.39270948449,-28.005417797309995,0.0789,0.1248,90,O,2020yCat.1350....0G,18.8799991607666,19.260000228881836,,,,,,,,,,,,,,,,,,,,,,,,,,0.2647,5.014,-5.948,*,ECDFS,True
[GGH2002] EIS J033217.71-280353.8,53.073782445940004,-28.064970320100002,0.0763,0.1272,90,O,2020yCat.1350....0G,19.280000686645508,19.979999542236328,,,,,,,,,,,,,,,,,,,,,,,,,,0.3908,5.21,-12.2,*,ECDFS,True
[GGH2002] EIS J033227.28-280212.8,53.113628617130004,-28.036880076460005,0.144,0.2399,90,O,2020yCat.1350....0G,19.850000381469727,20.31999969482422,,,,,,,,,,,,,,,,,,,,,,,,,,1.0179,5.477,-8.461,*,ECDFS,True
[WDK2001]  8101,53.10227863517999,-28.00718959648,0.0499,0.0881,90,O,2020yCat.1350....0G,18.8700008392334,19.889999389648438,18.100000381469727,,,,,,,,,,,,,,,,,,,,,,,,,1.4266,-9.62,-11.619,*,ECDFS,True
[GGH2002] EIS J033259.11-280344.2,53.24627044278,-28.062281857119995,0.0632,0.1024,90,O,2020yCat.1350....0G,18.579999923706055,18.969999313354492,,,,,,,,,,,,,,,,,,,,,,,,,,0.3736,14.067,-2.144,*,ECDFS,True
[MBR2003] CDFS-H 4705,53.31686051836,-28.03158908471,0.1182,0.1846,90,O,2020yCat.1350....0G,19.809999465942383,20.56999969482422,,,,,,,,,,,,,,,,,,,,,,,,,,0.1979,0.753,-5.216,*,ECDFS,True
[MBR2003] CDFS-H 4108,53.284661654599994,-27.932621585310002,0.0505,0.0831,90,O,2020yCat.1350....0G,18.350000381469727,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,0.2154,8.858,-6.246,*,ECDFS,True
2MASS J03324077-2801511,53.16980804817,-28.030783158330003,0.0379,0.0602,90,O,2020yCat.1350....0G,17.6299991607666,17.979999542236328,,,,,,,,,,,,,,,,,,,,,,,,,,0.0135,2.287,-1.91,*,ECDFS,True
2MASS J03325252-2758366,53.21884326946,-27.97686122701,0.0244,0.0408,90,O,2020yCat.1350....0G,17.219999313354492,17.889999389648438,,,,,,,,,,,,,,,,,,,,,,,,,,0.9245,0.817,-1.613,*,ECDFS,True
[GGH2002] EIS J033147.87-280015.4,52.94949278058001,-28.004250332850003,0.134,0.243,90,O,2020yCat.1350....0G,19.93000030517578,20.540000915527344,,,,,,,,,,,,,,,,,,,,,,,,,,0.4558,2.138,-0.126,*,ECDFS,True
[GGH2002] EIS J033127.93-280312.0,52.86638112437,-28.053370164789996,0.1234,0.2341,90,O,2020yCat.1350....0G,19.68000030517578,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.5402,-1.897,-6.772,*,ECDFS,True
[WDK2001] 10734,52.91005373712001,-27.98606682969,0.053,0.0923,90,O,2020yCat.1350....0G,18.34000015258789,18.639999389648438,18.329999923706055,,,,,,,,,,,,,,,,,,,,,,,,,0.2697,2.946,-8.93,*,ECDFS,True
[GGH2002] EIS J033201.84-275936.2,53.00765598067,-27.99337746157,0.1057,0.1993,90,O,2020yCat.1350....0G,19.950000762939453,20.81999969482422,,,,,,,,,,,,,,,,,,,,,,,,,,0.2218,1.806,-3.155,*,ECDFS,True
2MASS J03320534-2758524,53.02224865026,-27.98125552413,0.0401,0.0687,90,O,2020yCat.1350....0G,17.360000610351562,17.8799991607666,,,,,,,,,,,,,,,,,,,,,,,,,,1.1131,12.45,-3.912,*,ECDFS,True
[GGH2002] EIS J033153.58-275847.5,52.97325666699,-27.979842117830003,0.1224,0.2228,90,O,2020yCat.1350....0G,19.8799991607666,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.2988,5.752,-2.126,*,ECDFS,True
[WDK2001] 13825,52.963464526589995,-27.962006535429996,0.0538,0.096,90,O,2020yCat.1350....0G,19.010000228881836,19.989999771118164,18.280000686645508,,,,,,,,,,,,,,,,,,,,,,,,,0.8376,0.195,2.959,*,ECDFS,True
