simbad_id,ra_deg,dec_deg,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,V_mag,B_mag,R_mag,I_mag,spectral_type,mesvar.bibcode,mesvar.epoch,mesvar.epoch_prec,mesvar.lowvmax,mesvar.magtyp,mesvar.mespos,mesvar.period,mesvar.period_prec,mesvar.raisingtime,mesvar.raisingtime_prec,mesvar.r_epoch,mesvar.r_period,mesvar.r_raisingtime,mesvar.r_vmax,mesvar.r_vmin,mesvar.upperiod,mesvar.uppvmin,mesvar.vartyp,mesvar.vmax,mesvar.vmax_prec,mesvar.vmin,mesvar.vmin_prec,parallax_mas,pmra_mas_yr,pmdec_mas_yr,simbad_otype,field,stable
2MASS J02271162-0446026,36.79842236395001,-4.767408061019999,0.0915,0.0835,90,O,2020yCat.1350....0G,18.011999130249023,17.86199951171875,17.9950008392334,17.81599998474121,,,,,,,,,,,,,,,,,,,,,,,,0.2681,4.376,-3.414,*,XMM-LSS,True
2MASS J02270682-0443316,36.77838928494,-4.72543147239,0.1795,0.1582,90,O,2020yCat.1350....0G,19.145000457763672,20.281999588012695,18.6560001373291,18.0310001373291,,,,,,,,,,,,,,,,,,,,,,,,0.4238,7.313,-9.815,*,XMM-LSS,True
2MASS J02273302-0431028,36.88762353545,-4.51743470577,0.1854,0.16,90,O,2020yCat.1350....0G,19.642000198364258,21.173999786376953,18.812000274658203,17.61400032043457,,,,,,,,,,,,,,,,,,,,,,,,2.6156,0.07,-4.549,*,XMM-LSS,True
2MASS J02255782-0442200,36.49089264568,-4.7054908257,0.2126,0.1831,90,O,2020yCat.1350....0G,19.195999145507812,20.351999282836914,18.64299964904785,18.156999588012695,,,,,,,,,,,,,,,,,,,,,,,,0.5002,8.703,-2.878,*,XMM-LSS,True
2MASS J02263179-0441129,36.63247210083,-4.687007943679999,0.2115,0.1851,90,O,2020yCat.1350....0G,19.483999252319336,20.7810001373291,18.867000579833984,18.235000610351562,,,,,,,,,,,,,,,,,,,,,,,,0.8915,2.26,3.919,*,XMM-LSS,True
2MASS J02255388-0437205,36.47452153774,-4.6223856457,0.1744,0.1527,90,O,2020yCat.1350....0G,19.347000122070312,20.740999221801758,18.547000885009766,17.55500030517578,,,,,,,,,,,,,,,,,,,,,,,,1.4008,0.739,0.335,*,XMM-LSS,True
2MASS J02262834-0434132,36.6181636135,-4.570385515599999,0.1327,0.12,90,O,2020yCat.1350....0G,18.395000457763672,19.15399932861328,18.138999938964844,17.756999969482422,,,,,,,,,,,,,,,,,,,,,,,,0.2457,2.983,-0.873,*,XMM-LSS,True
2MASS J02265845-0432248,36.74360048748,-4.540289998729999,0.1101,0.103,90,O,2020yCat.1350....0G,18.21500015258789,18.61400032043457,18.030000686645508,17.687999725341797,,,,,,,,,,,,,,,,,,,,,,,,0.5907,9.99,-9.369,*,XMM-LSS,True
2MASS J02262663-0428382,36.61095002281,-4.47729767848,0.3063,0.3287,90,O,2020yCat.1350....0G,19.83799934387207,21.097000122070312,19.229000091552734,18.444000244140625,,,,,,,,,,,,,,,,,,,,,,,,0.4338,-4.042,-13.079,*,XMM-LSS,True
2MASS J02253965-0433242,36.41518181285,-4.55675095589,0.2726,0.2444,90,O,2020yCat.1350....0G,20.124000549316406,21.621000289916992,19.301000595092773,18.197999954223633,,,,,,,,,,,,,,,,,,,,,,,,1.5544,7.474,5.455,*,XMM-LSS,True
2MASS J02253221-0429158,36.384399409169994,-4.487844843459999,0.2842,0.2811,90,O,2020yCat.1350....0G,20.249000549316406,21.729999542236328,19.496999740600586,18.489999771118164,,,,,,,,,,,,,,,,,,,,,,,,1.1672,2.583,2.484,*,XMM-LSS,True
2MASS J02253135-0428151,36.38058614174,-4.4708307855800005,0.2479,0.2356,90,O,2020yCat.1350....0G,20.441999435424805,21.841999053955078,19.56399917602539,18.042999267578125,,,,,,,,,,,,,,,,,,,,,,,,2.2301,-6.598,-10.423,*,XMM-LSS,True
2MASS J02254038-0422043,36.41831440891,-4.367930950389999,0.1033,0.0995,90,O,2020yCat.1350....0G,18.225000381469727,19.167999267578125,17.86199951171875,17.552000045776367,,,,,,,,,,,,,,,,,,,,,,,,0.6147,1.294,-11.023,*,XMM-LSS,True
2MASS J02262178-0424176,36.59088187238999,-4.4048812245,0.1979,0.1709,90,O,2020yCat.1350....0G,19.283000946044922,20.65399932861328,18.59600067138672,17.618999481201172,,,,,,,,,,,,,,,,,,,,,,,,0.4128,-2.947,-1.149,*,XMM-LSS,True
2MASS J02264722-0419039,36.69685026104,-4.3177713197,0.2417,0.2208,90,O,2020yCat.1350....0G,19.704999923706055,21.197999954223633,18.888999938964844,17.775999069213867,,,,,,,,,,,,,,,,,,,,,,,,1.7148,9.523,4.043,*,XMM-LSS,True
2MASS J02271215-0422426,36.80068211232,-4.37845501615,0.6068,0.4122,90,O,2020yCat.1350....0G,20.993000030517578,22.47599983215332,20.117000579833984,18.548999786376953,,,,,,,,,,,,,,,,,,,,,,,,1.6328,5.68,-8.217,*,XMM-LSS,True
