simbad_id,ra_deg,dec_deg,V_mag,B_mag,R_mag,I_mag,simbad_otype,spectral_type,mk_class,mk_subtype,lum_class,parallax_mas,pmra_mas_yr,pmdec_mas_yr,stable,field
2MASS J10010465+0227361,150.26942247798,2.46013615738,18.160999298095703,18.47100067138672,,17.770000457763672,*,,?,,unknown,0.4111,-12.513,0.12,True,COSMOS
COSMOS 818920,150.39443613882,1.8897533688100003,18.284000396728516,18.40399932861328,,18.170000076293945,*,,?,,unknown,0.3684,-1.894,-3.533,True,COSMOS
2MASS J09574311+0217297,149.42965746512,2.29156558826,18.29400062561035,19.14800071716309,,,*,,?,,unknown,0.931,-6.644,6.332,True,COSMOS
2MASS J10000154+0215563,150.00644705713,2.2656759800400006,18.29599952697754,18.75900077819824,,,*,,?,,unknown,0.3591,-11.9,1.836,True,COSMOS
2MASS J10013353+0223542,150.38972736522,2.39848486427,18.308000564575195,19.243000030517575,,,*,,?,,unknown,1.0739,-10.493,0.625,True,COSMOS
2MASS J09594478+0148011,149.93663596651,1.8003025725000004,18.312000274658203,19.128000259399418,,,*,,?,,unknown,1.0874,-14.461,-3.86,True,COSMOS
2MASS J10010851+0214597,150.28561116441,2.2499227728,18.31999969482422,18.97800064086914,,,*,,?,,unknown,0.5145,-7.307,-0.838,True,COSMOS
2MASS J09575881+0153235,149.49506395014,1.8898853126800008,18.32200050354004,19.243000030517575,,,*,,?,,unknown,1.1714,-1.129,-10.866,True,COSMOS
2MASS J10001512+0213282,150.06300726061,2.22448979058,18.332000732421875,18.988000869750977,,,*,,?,,unknown,0.7583,-11.913,-8.21,True,COSMOS
2MASS J09584090+0139332,149.67028712198,1.65946394657,18.336999893188477,18.66900062561035,,,*,,?,,unknown,0.4432,-10.42,-4.044,True,COSMOS
2MASS J10003140+0138392,150.13082539822,1.6442024067599998,18.34000015258789,19.260000228881836,,,*,,?,,unknown,1.1621,5.499,3.493,True,COSMOS
COSMOS 1012754,149.66572483806,1.89308905028,18.343000411987305,18.677000045776367,,,*,,?,,unknown,0.617,-10.914,-17.977,True,COSMOS
2MASS J10002811+0134471,150.11718520949,1.5797732814700003,18.35199928283691,19.165000915527344,,,*,,?,,unknown,0.925,-17.625,-1.088,True,COSMOS
2MASS J09574662+0212126,149.44422454484,2.20346882432,18.35300064086914,19.17099952697754,,,*,,?,,unknown,0.8555,0.293,-9.342,True,COSMOS
2MASS J10013489+0222312,150.39539160246,2.3754458767000006,18.354000091552734,19.22699928283691,,,*,,?,,unknown,0.9918,-12.201,1.866,True,COSMOS
2MASS J10000242+0227596,150.01008645897,2.46657411204,18.354000091552734,18.770000457763672,,,*,,?,,unknown,0.5578,-10.862,1.619,True,COSMOS
COSMOS 2629206,150.40168379293,2.64604281437,18.354999542236328,18.892000198364254,,17.989999771118164,*,,?,,unknown,0.8446,-7.925,4.29,True,COSMOS
2MASS J09580990+0130047,149.54123644265,1.5013170642300002,18.364999771118164,19.400999069213867,,,*,,?,,unknown,1.606,-5.358,-13.971,True,COSMOS
2MASS J09595314+0201114,149.97144447223,2.0198148412399997,18.364999771118164,19.256999969482425,,,*,,?,,unknown,0.9384,-1.047,-5.662,True,COSMOS
COSMOS 2505086,149.43951089988,2.48577945628,18.367000579833984,18.871999740600582,,,*,,?,,unknown,0.4026,-4.607,-4.691,True,COSMOS
COSMOS 3087698,149.98382426179,2.84143183325,18.371999740600582,18.69700050354004,,,*,,?,,unknown,0.075,-3.477,-1.428,True,COSMOS
2MASS J09594833+0227115,149.95130349682,2.4532967557099994,18.37299919128418,18.84000015258789,,,*,,?,,unknown,0.8328,-15.904,-6.198,True,COSMOS
2MASS J10023690+0215535,150.6537928469,2.26483888594,18.375999450683594,19.308000564575195,,,*,,?,,unknown,0.9381,-5.18,-4.843,True,COSMOS
COSMOS 328225,149.49905215439,1.5782094057,18.37700080871582,18.506000518798828,,,*,,?,,unknown,,-4.249,-3.348,True,COSMOS
2MASS J10015586+0201405,150.48277535345,2.0279120416,18.378000259399418,19.57799911499023,,,*,,?,,unknown,4.8958,-23.473,-25.505,True,COSMOS
COSMOS 1208914,150.3063773063,2.0765335394800006,18.378000259399418,18.94700050354004,,,*,,?,,unknown,0.1928,-5.157,0.47,True,COSMOS
2MASS J10000116+0207523,150.00490572617,2.1312085001,18.378999710083008,19.266000747680664,,,*,,?,,unknown,1.3335,-8.59,-0.18,True,COSMOS
COSMOS 227590,149.90034121172,1.5353818977,18.38400077819824,18.96500015258789,,,*,,?,,unknown,0.5585,-4.981,-9.513,True,COSMOS
COSMOS 2378824,149.94298747838,2.51409705388,18.385000228881836,18.652999877929688,,,*,,?,,unknown,0.3114,-5.745,-3.877,True,COSMOS
2MASS J10020189+0223124,150.5078701399,2.3867731976700006,18.38599967956543,19.274999618530273,,,*,,?,,unknown,0.9312,-2.208,-12.109,True,COSMOS
2MASS J09575810+0210454,149.49205775611,2.17924653275,18.39299964904785,19.250999450683594,,,*,,?,,unknown,1.0807,-12.163,-1.63,True,COSMOS
COSMOS 2556176,150.69601436864,2.77871498576,18.395000457763672,18.915000915527344,,,*,,?,,unknown,0.478,-4.838,-3.64,True,COSMOS
2MASS J09585059+0144356,149.71080766703,1.74323827692,18.39900016784668,19.013999938964844,,,*,,?,,unknown,0.6689,-13.08,-1.993,True,COSMOS
2MASS J09595175+0157223,149.96565792702,1.9562208816799995,18.405000686645508,19.31399917602539,,,*,,?,,unknown,1.2902,-11.17,4.215,True,COSMOS
2MASS J09575448+0135471,149.47696654797,1.59645376468,18.40800094604492,19.381000518798828,,,*,,?,,unknown,1.9405,2.702,-26.377,True,COSMOS
2MASS J10015653+0210397,150.48555048882,2.17770960985,18.409000396728516,19.356000900268555,,,*,,?,,unknown,1.8683,-41.152,-8.172,True,COSMOS
2MASS J09584761+0145361,149.69835607585,1.7600216825000004,18.410999298095703,19.190000534057617,,17.700000762939453,*,,?,,unknown,0.7653,-5.403,-4.685,True,COSMOS
COSMOS 1165950,150.45893149073,2.0963265683,18.413000106811523,18.663000106811523,,18.040000915527344,*,,?,,unknown,0.254,-3.761,-5.901,True,COSMOS
2MASS J09592115+0219524,149.83820076546,2.33128396564,18.413999557495117,19.48699951171875,,,*,,?,,unknown,2.4777,-0.185,-22.689,True,COSMOS
2MASS J09580250+0136496,149.51031268804,1.61368896989,18.416000366210938,19.05500030517578,,,*,,?,,unknown,0.6361,-11.524,-5.52,True,COSMOS
2MASS J10011319+0246394,150.30495270999,2.77768161663,18.416000366210938,19.242000579833984,,,*,,?,,unknown,0.3876,-8.378,-1.939,True,COSMOS
COSMOS 2138535,149.50295119146,2.3739030787,18.41699981689453,18.89800071716309,,,*,,?,,unknown,0.0133,-5.138,-2.084,True,COSMOS
2MASS J09585831+0250238,149.7429992755256,2.8399435858385003,18.417999267578125,19.256000518798828,,,*,,?,,unknown,3.9688,3.762,-6.514,True,COSMOS
2MASS J09593715+0234305,149.90481638031,2.57516020281,18.41900062561035,19.4950008392334,,,*,,?,,unknown,1.6412,-14.617,-0.444,True,COSMOS
2MASS J10022011+0204270,150.58383117226,2.07415977987,18.41900062561035,19.25200080871582,,,*,,?,,unknown,1.0216,-1.134,-6.241,True,COSMOS
COSMOS 697022,149.48096411487,1.7290052136500005,18.42099952697754,18.72699928283691,,,*,,?,,unknown,0.2049,-4.423,-0.167,True,COSMOS
COSMOS 2483392,149.54034281345,2.5781190373799996,18.424999237060547,18.937000274658203,,,*,,?,,unknown,0.6125,-2.542,-6.064,True,COSMOS
COSMOS 1442669,150.81435834267,2.2927381730300005,18.426000595092773,18.868999481201172,,,*,,?,,unknown,0.1507,-2.443,-5.054,True,COSMOS
2MASS J09574605+0148598,149.44193591321,1.8166459663599996,18.43199920654297,19.402999877929688,,,*,,?,,unknown,1.9157,6.495,-12.786,True,COSMOS
2MASS J10025775+0147092,150.74068129161,1.7858784529699998,18.433000564575195,19.207000732421875,,,*,,?,,unknown,0.336,-7.698,2.851,True,COSMOS
COSMOS 1744848,149.62131264653,2.18381696378,18.43400001525879,18.756000518798828,,,*,,?,,unknown,0.2372,11.939,-19.967,True,COSMOS
COSMOS 3085741,149.95280009623,2.8466601988800004,18.434999465942383,18.944000244140625,,,*,,?,,unknown,0.5706,-1.711,-3.255,True,COSMOS
2MASS J10020398+0223352,150.51663592979,2.3931374862,18.437999725341797,19.243000030517575,,,*,,?,,unknown,0.9204,-0.801,-5.612,True,COSMOS
2MASS J10000278+0224237,150.01157313839,2.4066218317700003,18.440000534057617,19.392000198364254,,,*,,?,,unknown,1.2227,4.326,-13.344,True,COSMOS
COSMOS 488991,150.28522426293,1.7430478780800005,18.44099998474121,19.118000030517575,,,*,,?,,unknown,0.8858,-10.372,-9.197,True,COSMOS
2MASS J10002034+0244114,150.08473456878,2.73659077486,18.441999435424805,19.13400077819824,,,*,,?,,unknown,0.7436,-3.739,-6.238,True,COSMOS
2MASS J10023814+0140043,150.6589672066,1.66776808842,18.44300079345703,19.040000915527344,,,*,,?,,unknown,0.716,-3.644,-8.752,True,COSMOS
COSMOS 2664654,150.31210180175,2.66403056652,18.44499969482422,18.836000442504883,,,*,,?,,unknown,,0.233,-2.824,True,COSMOS
2MASS J10025422+0219083,150.72593427563,2.31900280038,18.44700050354004,19.288999557495117,,,*,,?,,unknown,0.5822,-13.304,-14.157,True,COSMOS
COSMOS 989705,149.75043402497,1.82421959746,18.447999954223633,18.78499984741211,,,*,,?,,unknown,0.4328,-10.883,-7.765,True,COSMOS
2MASS J10011652+0159242,150.31886256907,1.99006426673,18.447999954223633,19.23699951171875,,,*,,?,,unknown,0.6816,-13.435,-9.43,True,COSMOS
COSMOS J100100.06+015337.9,150.25026237417,1.8938336741200004,18.448999404907227,18.75200080871582,,,*,,?,,unknown,0.004,0.453,-7.01,True,COSMOS
2MASS J09583830+0239549,149.65963616328,2.66527698326,18.450000762939453,19.56800079345703,,,*,,?,,unknown,4.6285,-24.271,4.9,True,COSMOS
2MASS J10001155+0202329,150.04815596601,2.04243171482,18.451000213623047,19.07900047302246,,,*,,?,,unknown,0.5747,-6.626,0.418,True,COSMOS
