simbad_id,spectral_type,mk_class_simple,V_mag,ra_deg,dec_deg,field,n_visits_total,n_u,n_g,n_r,n_i,n_z,n_y
SDSS J100158.92+021246.1,A0,A,18.95599937438965,150.49553378305,2.2128088596900004,COSMOS,2333,204,401,484,700,416,128
SDSS J100221.95+022041.8,M3,M,20.959999084472656,150.59147001263,2.34495185184,COSMOS,2330,204,401,482,699,416,128
SDSS J095808.75+020000.9,F8,F,19.211000442504883,149.5364898988521,2.0002543319886112,COSMOS,2330,204,401,480,698,417,130
2MASS J10000275+0231274,M4V,M,18.833999633789062,150.01147509353,2.5243142632300004,COSMOS,2329,204,401,482,696,416,130
SDSS J100109.02+021351.0,K7,K,18.92799949645996,150.28760715884,2.2308305589799997,COSMOS,2329,204,401,482,698,416,128
2MASS J10005451+0216050,M5,M,20.784000396728516,150.22711731319,2.2680931185299995,COSMOS,2329,204,401,482,698,416,128
2MASS J10003105+0241554,M3.8,M,19.493999481201172,150.12940577076,2.6987755921100005,COSMOS,2329,204,401,482,697,416,129
COSMOS 2804135,F5,F,18.47100067138672,149.61873031864,2.75211558302,COSMOS,2328,204,401,480,694,418,131
ACS-GC 20099329,M1e,M,18.875,149.75408918121,2.14182543754,COSMOS,2328,204,401,480,697,417,129
COSMOS 2685690,F5,F,19.301000595092773,150.06978335099,2.7441721135800003,COSMOS,2328,204,401,482,696,416,129
2MASS J10004035+0236565,M5,M,19.354000091552734,150.16817056093,2.61568890744,COSMOS,2328,204,401,482,696,416,129
DENIS J095927.3+015559,F8III,F,18.756999969482425,149.86390560608,1.9331922152300005,COSMOS,2327,204,401,480,697,416,129
SDSS J100014.23+023742.2,DA+M,?,20.33799934387207,150.05927479659,2.62837283186,COSMOS,2327,204,401,481,696,416,129
2MASS J10005518+0159376,M4e,M,20.08300018310547,150.22994464057,1.99372662175,COSMOS,2326,204,401,480,697,416,128
COSMOS 1235283,M5,M,19.63400077819824,150.20632367214,2.1207302256,COSMOS,2326,204,401,480,697,416,128
2MASS J10003351+0205430,M3,M,18.92799949645996,150.13965941016,2.09529696335,COSMOS,2326,204,401,479,696,417,129
SDSS J100022.20+021019.8,M1,M,19.802000045776367,150.09252675576,2.1721719932700005,COSMOS,2325,204,401,479,696,416,129
2MASS J09595063+0223163,K7,K,18.493000030517575,149.96097355071,2.38775847099,COSMOS,2325,204,401,480,695,416,129
2MASS J10002097+0144317,M5,M,19.121000289916992,150.0874096043221,1.7421181612676,COSMOS,2325,204,401,480,695,416,129
[PBM2009] s9247,M2.5,M,20.200000762939453,53.18815280828,-27.92585184797,ECDFS,511,48,101,90,151,88,33
[PBM2009] s104673,M0.0,M,19.280000686645508,53.13108193846999,-27.74314032244,ECDFS,510,48,101,89,151,88,33
[PBM2009] s108014,M2.0,M,19.339000701904297,53.058131628919995,-27.73503739282,ECDFS,510,48,101,89,151,88,33
[PBM2009] s74928,M4.0,M,20.579999923706055,53.17673227245,-27.79974415463,ECDFS,510,48,101,89,151,88,33
[PBM2009] s128247,M2.0,M,20.788999557495117,53.096601921410006,-27.69426512196,ECDFS,510,48,101,89,151,88,33
[PBM2009] s108497,M1.7,M,20.940000534057617,53.09306222257,-27.73579776956,ECDFS,510,48,101,89,151,88,33
SDSS J021726.52-050827.3,sdA,S,19.8700008392334,34.36053599748,-5.14093176459,XMM-LSS,222,72,22,20,54,28,26
