simbad_id,spectral_type,mk_class_simple,V_mag,ra_deg,dec_deg,field,n_visits_total,n_u,n_g,n_r,n_i,n_z,n_y
2MASS J10003351+0205430,M3,M,18.92799949645996,150.13965941016,2.09529696335,COSMOS,2322,204,401,479,695,415,128
ACS-GC 20099329,M1e,M,18.875,149.75408918121,2.14182543754,COSMOS,2322,204,401,478,695,415,129
2MASS J10004035+0236565,M5,M,19.35400009155273,150.16817056093,2.61568890744,COSMOS,2322,204,401,480,694,415,128
2MASS J10003105+0241554,M3.8,M,19.49399948120117,150.12940577076,2.6987755921100005,COSMOS,2322,204,401,480,694,415,128
SDSS J095808.75+020000.9,F8,F,19.211000442504883,149.5364898988521,2.0002543319886112,COSMOS,2322,204,401,478,695,416,128
COSMOS 2685690,F5,F,19.301000595092773,150.06978335099,2.7441721135800003,COSMOS,2322,204,401,480,694,415,128
SDSS J100022.20+021019.8,M1,M,19.802000045776367,150.09252675576,2.1721719932700005,COSMOS,2321,204,401,479,694,415,128
2MASS J09595063+0223163,K7,K,18.493000030517575,149.96097355071,2.38775847099,COSMOS,2321,204,401,478,694,416,128
2MASS J10002097+0144317,M5,M,19.121000289916992,150.0874096043221,1.7421181612676,COSMOS,2321,204,401,478,694,416,128
DENIS J095927.3+015559,F8III,F,18.756999969482425,149.86390560608,1.9331922152300005,COSMOS,2321,204,401,478,694,415,129
COSMOS 1235283,M5,M,19.63400077819824,150.20632367214,2.1207302256,COSMOS,2321,204,401,479,694,415,128
COSMOS 2804135,F5,F,18.47100067138672,149.61873031864,2.75211558302,COSMOS,2320,204,401,478,693,415,129
SDSS J100158.92+021246.1,A0,A,18.95599937438965,150.49553378305,2.2128088596900004,COSMOS,2320,204,401,478,694,415,128
SDSS J100109.02+021351.0,K7,K,18.92799949645996,150.28760715884,2.23083055898,COSMOS,2319,204,401,477,694,415,128
2MASS J10000275+0231274,M4V,M,18.833999633789062,150.01147509353,2.5243142632300004,COSMOS,2319,204,401,478,693,415,128
[PBM2009] s104673,M0.0,M,19.280000686645508,53.13108193846999,-27.74314032244,ECDFS,509,48,101,89,150,88,33
[PBM2009] s108014,M2.0,M,19.339000701904297,53.05813162892,-27.73503739282,ECDFS,509,48,101,89,150,88,33
SDSS J021726.52-050827.3,sdA,S,19.8700008392334,34.36053599748,-5.14093176459,XMM-LSS,222,72,22,20,54,28,26
