simbad_id,ra_deg,dec_deg,n_refs,n_matched,n_failed,status
SDSS J100158.92+021246.1,150.49553378305,2.2128088596900004,636,632,0,ok
SDSS J100221.95+022041.8,150.59147001263,2.34495185184,660,561,0,ok
SDSS J095808.75+020000.9,149.5364898988521,2.0002543319886112,673,672,0,ok
2MASS J10000275+0231274,150.01147509353,2.5243142632300004,657,655,0,ok
SDSS J100109.02+021351.0,150.28760715884,2.23083055898,653,649,0,ok
2MASS J10005451+0216050,150.22711731319,2.2680931185299995,680,597,0,ok
2MASS J10003105+0241554,150.12940577076,2.6987755921100005,666,577,0,ok
COSMOS 2804135,149.61873031864,2.75211558302,663,657,0,ok
ACS-GC 20099329,149.75408918121,2.14182543754,663,658,0,ok
COSMOS 2685690,150.06978335099,2.7441721135800003,649,642,0,ok
2MASS J10004035+0236565,150.16817056093,2.61568890744,659,653,0,ok
DENIS J095927.3+015559,149.86390560608,1.9331922152300005,665,660,0,ok
SDSS J100014.23+023742.2,150.05927479659,2.62837283186,644,641,0,ok
2MASS J10005518+0159376,150.22994464057,1.99372662175,657,645,0,ok
COSMOS 1235283,150.20632367214,2.1207302256,668,601,0,ok
2MASS J10003351+0205430,150.13965941016,2.09529696335,639,631,0,ok
SDSS J100022.20+021019.8,150.09252675576,2.1721719932700005,654,650,0,ok
2MASS J09595063+0223163,149.96097355071,2.38775847099,662,654,0,ok
2MASS J10002097+0144317,150.0874096043221,1.7421181612676,656,647,0,ok
[PBM2009] s9247,53.18815280828,-27.92585184797,248,230,0,ok
[PBM2009] s104673,53.13108193846999,-27.74314032244,263,252,0,ok
[PBM2009] s108014,53.05813162892,-27.73503739282,264,244,0,ok
[PBM2009] s74928,53.17673227245,-27.79974415463,268,243,0,ok
[PBM2009] s128247,53.096601921410006,-27.69426512196,249,228,0,ok
[PBM2009] s108497,53.09306222257,-27.73579776956,253,229,0,ok
SDSS J021726.52-050827.3,34.36053599748,-5.14093176459,120,120,0,ok
