simbad_id,band,N,median_flux_nJy,sigma_IQR_nJy,median_err_nJy,scatter/err,rel_scatter_%,excess_scatter
2MASS J09595063+0223163,g,80,125171.7,1585.78,314.95,5.035,1.2669,True
2MASS J09595063+0223163,i,149,380307.97,6089.38,666.06,9.142,1.6012,True
2MASS J09595063+0223163,r,159,262811.44,4215.52,499.08,8.447,1.604,True
2MASS J09595063+0223163,u,99,21851.67,605.02,394.22,1.535,2.7687,False
2MASS J09595063+0223163,y,69,508401.46,6797.91,2068.61,3.286,1.3371,True
2MASS J09595063+0223163,z,98,459354.46,28331.82,989.67,28.628,6.1677,True
2MASS J10000275+0231274,g,82,69735.7,1091.7,247.3,4.414,1.5655,True
2MASS J10000275+0231274,i,144,808802.86,11824.61,942.54,12.545,1.462,True
2MASS J10000275+0231274,r,162,226122.89,3874.65,475.7,8.145,1.7135,True
2MASS J10000275+0231274,u,96,6317.37,326.31,327.47,0.996,5.1653,False
2MASS J10000275+0231274,y,69,1884404.34,16200.8,3132.28,5.172,0.8597,True
2MASS J10000275+0231274,z,102,1447532.67,12301.06,1524.95,8.067,0.8498,True
2MASS J10002097+0144317,g,82,51372.25,412.17,219.43,1.878,0.8023,False
2MASS J10002097+0144317,i,145,797480.06,7240.24,933.79,7.754,0.9079,True
2MASS J10002097+0144317,r,163,180642.26,1282.6,437.9,2.929,0.71,True
2MASS J10002097+0144317,u,92,4317.65,449.94,310.49,1.449,10.4209,False
2MASS J10002097+0144317,y,70,2163254.93,16979.75,3268.6,5.195,0.7849,True
2MASS J10002097+0144317,z,95,1580234.36,8572.78,1581.23,5.422,0.5425,True
2MASS J10003105+0241554,g,75,37494.53,477.62,197.45,2.419,1.2738,True
2MASS J10003105+0241554,i,131,460515.62,4145.15,725.42,5.714,0.9001,True
2MASS J10003105+0241554,r,152,123622.9,1027.12,384.58,2.671,0.8308,True
2MASS J10003105+0241554,u,63,3315.4,303.66,308.78,0.983,9.159,False
2MASS J10003105+0241554,y,60,1105404.1,8607.17,2572.84,3.345,0.7786,True
2MASS J10003105+0241554,z,96,837375.18,6269.78,1213.58,5.166,0.7487,True
2MASS J10003351+0205430,g,79,61614.78,667.56,235.82,2.831,1.0834,True
2MASS J10003351+0205430,i,144,705454.48,5425.84,877.38,6.184,0.7691,True
2MASS J10003351+0205430,r,154,200467.96,1366.08,454.66,3.005,0.6814,True
2MASS J10003351+0205430,u,93,6041.38,422.55,320.09,1.32,6.9943,False
2MASS J10003351+0205430,y,64,1642644.76,11475.32,2928.76,3.918,0.6986,True
2MASS J10003351+0205430,z,97,1261171.9,5383.45,1434.37,3.753,0.4269,True
2MASS J10004035+0236565,g,77,41637.4,525.35,204.9,2.564,1.2617,True
2MASS J10004035+0236565,i,150,597636.69,5205.0,816.6,6.374,0.8709,True
2MASS J10004035+0236565,r,162,138967.83,1164.42,401.32,2.902,0.8379,True
2MASS J10004035+0236565,u,93,5111.97,830.42,324.81,2.557,16.2447,True
2MASS J10004035+0236565,y,75,1670754.56,17063.22,2995.43,5.696,1.0213,True
2MASS J10004035+0236565,z,96,1196716.11,7764.44,1406.99,5.518,0.6488,True
2MASS J10005451+0216050,g,82,10759.59,265.65,143.92,1.846,2.469,False
2MASS J10005451+0216050,i,154,164308.92,1610.67,507.62,3.173,0.9803,True
2MASS J10005451+0216050,r,165,38074.59,453.26,294.63,1.538,1.1905,False
2MASS J10005451+0216050,u,22,1540.48,256.59,275.55,0.931,16.6563,False
2MASS J10005451+0216050,y,71,444259.43,4231.31,1995.27,2.121,0.9524,True
2MASS J10005451+0216050,z,103,325770.53,1851.3,898.77,2.06,0.5683,True
2MASS J10005518+0159376,g,79,23839.55,432.56,173.36,2.495,1.8144,True
2MASS J10005518+0159376,i,152,255441.43,3144.94,581.69,5.407,1.2312,True
2MASS J10005518+0159376,r,157,77135.48,1151.92,341.02,3.378,1.4934,True
2MASS J10005518+0159376,u,89,2742.61,354.57,298.16,1.189,12.9281,False
2MASS J10005518+0159376,y,69,580803.03,4690.19,2100.98,2.232,0.8075,True
2MASS J10005518+0159376,z,99,446367.74,2906.91,983.47,2.956,0.6512,True
ACS-GC 20099329,g,79,61386.56,696.65,234.28,2.974,1.1349,True
ACS-GC 20099329,i,152,477447.17,11722.67,738.23,15.88,2.4553,True
ACS-GC 20099329,r,155,200924.55,5694.62,456.94,12.463,2.8342,True
ACS-GC 20099329,u,102,6783.53,557.51,320.82,1.738,8.2186,False
ACS-GC 20099329,y,67,861024.41,7218.34,2347.49,3.075,0.8383,True
ACS-GC 20099329,z,103,717829.07,4510.68,1144.95,3.94,0.6284,True
COSMOS 1235283,g,78,32204.1,1906.63,189.97,10.037,5.9205,True
COSMOS 1235283,i,133,462714.65,9046.27,728.64,12.415,1.955,True
COSMOS 1235283,r,131,106456.59,4372.62,359.81,12.153,4.1074,True
COSMOS 1235283,u,92,3174.16,373.99,302.13,1.238,11.7824,False
COSMOS 1235283,y,71,1276272.6,8855.4,2676.48,3.309,0.6938,True
COSMOS 1235283,z,96,917678.0,14665.4,1250.29,11.73,1.5981,True
COSMOS 2685690,g,79,63228.28,439.5,237.68,1.849,0.6951,False
COSMOS 2685690,i,144,116958.98,898.07,461.33,1.947,0.7678,False
COSMOS 2685690,r,153,97127.37,643.27,357.73,1.798,0.6623,False
COSMOS 2685690,u,94,25770.26,518.52,425.06,1.22,2.0121,False
COSMOS 2685690,y,72,129090.56,1892.68,1697.06,1.115,1.4662,False
COSMOS 2685690,z,100,124932.52,759.36,742.79,1.022,0.6078,False
