simbad_id,ra_deg,dec_deg,n_refs,n_matched,n_failed,status
VVDS 020375868,36.42229864490999,-4.17813712859,127,122,0,ok
2MASS J02271162-0446026,36.79842236395001,-4.767408061019999,121,113,0,ok
VVDS 020321613,36.96763552874,-4.29578504516,118,106,0,ok
VVDS J022632.21-042631.1,36.63423333324,-4.44207108334,114,109,0,ok
2MASS J02265845-0432248,36.74360048748,-4.540289998729999,124,115,0,ok
VIDEO J022519.41-043105.11,36.33093125642,-4.518138769389999,125,122,0,ok
2MASS J02254038-0422043,36.41831440891,-4.367930950389999,121,117,0,ok
2MASS J02260171-0422438,36.50722383023,-4.378817657229999,122,115,0,ok
VIDEO J022748.54-041215.38,36.95221943596,-4.204285575660001,120,106,0,ok
2MASS J02262834-0434132,36.6181636135,-4.570385515599999,126,123,0,ok
VIDEO J022635.05-043706.62,36.64605586137,-4.61850379445,120,117,0,ok
VIDEO J022549.64-043720.22,36.45687650132,-4.62227693281,105,104,0,ok
2MASS J02253945-0432581,36.41441061634,-4.54953117158,122,118,0,ok
VIDEO J022657.44-044822.24,36.7394125,-4.806130555555556,115,89,0,ok
VIDEO J022644.64-044616.95,36.68602097304,-4.77137231193,130,124,0,ok
VIDEO J022529.82-043400.93,36.37428486411,-4.56692517513,119,116,0,ok
VIDEO J022559.39-042450.90,36.49752049410001,-4.41411591754,116,110,0,ok
2MASS J02270682-0443316,36.77838928494,-4.72543147239,125,118,0,ok
VIDEO J022506.44-041930.86,36.276833568380006,-4.325246235249999,127,124,0,ok
VVDS 020276735,36.98847230139,-4.39498749524,126,116,0,ok
2MASS J02255782-0442200,36.49089264568,-4.7054908257,123,119,0,ok
VIDEO J022615.50-042219.21,36.56465792313,-4.372009028909999,118,115,0,ok
VIDEO J022646.60-042340.39,36.6942393957,-4.39452293553,117,107,0,ok
2MASS J02262178-0424176,36.59088187238999,-4.4048812245,119,113,0,ok
2MASS J02255388-0437205,36.47452153774,-4.6223856457,116,111,0,ok
SXDSPM J021709.9-052437,34.2915896331,-5.410364937089999,123,6,0,ok
VIDEO J022612.11-042331.54,36.55058134882,-4.3920704199300005,118,113,0,ok
2MASS J02270197-0430533,36.75826585327,-4.514853501809999,120,109,0,ok
VVDS J022547.20-043252.3,36.44671707446,-4.54808963711,127,124,0,ok
2MASS J02272776-0436423,36.86573077496,-4.611770687229999,128,120,0,ok
DENIS J022558.7-041718,36.49475897433,-4.288452471130001,118,105,0,ok
VIDEO J022714.30-041941.90,36.80967053301,-4.32836124915,126,113,0,ok
2MASS J02263179-0441129,36.63247210083,-4.687007943679999,122,116,0,ok
VIDEO J022733.58-044241.10,36.88994739153,-4.711416593289999,121,112,0,ok
2MASS J02264054-0437057,36.66894512003,-4.61829129633,121,10,0,ok
2MASS J02270163-0415147,36.75681632627,-4.25402991707,125,113,0,ok
2MASS J02263843-0434526,36.66010090308,-4.581242199170001,128,121,0,ok
2MASS J02274589-0412060,36.94122576672999,-4.20166164624,121,99,0,ok
VIDEO J022603.54-041057.49,36.51479482221,-4.182681894379999,121,113,0,ok
VIDEO J022643.04-041246.60,36.67937456066,-4.212977938239999,119,113,0,ok
VVDS J022634.35-042741.4,36.64315833333334,-4.461519444444445,119,112,0,ok
2MASS J02273302-0431028,36.88762353545,-4.51743470577,118,96,0,ok
VIDEO J022628.42-043831.32,36.61844013861,-4.6420289337,123,118,0,ok
