simbad_id,target_ra,target_dec,visit,detector,band,day_obs,physical_filter,sep_arcsec,src_ra,src_dec,sourceId,parentSourceId,x,y,xErr,yErr,ra,dec,raErr,decErr,calibFlux,calibFluxErr,ap09Flux,ap09FluxErr,ap09Flux_flag,ap12Flux,ap12FluxErr,ap12Flux_flag,ap17Flux,ap17FluxErr,ap17Flux_flag,ap25Flux,ap25FluxErr,ap25Flux_flag,ap35Flux,ap35FluxErr,ap35Flux_flag,sky,skyErr,psfFlux,psfFluxErr,extendedness,sizeExtendedness,apFlux_12_0_flag,apFlux_12_0_instFlux,apFlux_12_0_instFluxErr,apFlux_17_0_flag,apFlux_17_0_instFlux,apFlux_17_0_instFluxErr,apFlux_35_0_flag,apFlux_35_0_instFlux,apFlux_35_0_instFluxErr,extendedness_flag,sizeExtendedness_flag,localBackground_instFlux,localBackground_instFluxErr,localBackground_flag,sky_source
2MASS J03331152-2758569,53.29800052801999,-27.98248799667,2025071100809,-1,g,20250711,g_6,0.3645089261643138,53.29806374973793,-27.98240352765928,745512972732858517,0,1742.7719181089049,2081.8955614098118,0.21530408,0.23909396,53.29806374973793,-27.98240352765928,1.2130662e-05,1.3148745e-05,48849.14883863133,1846.543051431492,42985.34467592908,1057.6827223864132,False,48908.59131298779,1408.437365908478,False,52623.70753297884,2004.6662022107944,False,52163.82539310843,2942.9824226488035,False,53338.787851579495,4113.521768664768,False,-0.2964726524742133,64.90799131787263,45032.14323500361,1019.8620347398086,1.0,0.0211876800085475,False,85885.53125,2473.27490234375,False,92409.4306640625,3520.2776676594526,False,93665.1416015625,7223.516215164343,False,False,-0.5206183734856978,113.98114660533096,False,False
2MASS J03331152-2758569,53.29800052801999,-27.98248799667,2025071100810,-1,g,20250711,g_6,0.2993150535851334,53.2980582774844,-27.98242233108513,745512972867076262,0,1743.0,2086.0,3.3436124,5.507995,53.2980582774844,-27.98242233108513,0.00020279862,0.0002951704,47907.51081096578,1763.531983939113,42988.15565103967,1028.472278129689,True,48200.18911706399,1368.835669619774,True,51560.78740820303,1939.953836024423,True,54937.85065489216,2855.778310802018,True,56999.91954172487,3998.690441576032,True,0.5182014549381758,62.88318646970141,45166.42934374623,950.7557878887696,,,True,86848.375,2466.404296875,True,92903.58984375,3495.460107522506,True,102703.9619140625,7204.946149391056,True,True,0.9337090809895494,113.30458779843516,True,False
2MASS J03331152-2758569,53.29800052801999,-27.98248799667,2025071100811,-1,g,20250711,g_6,0.4079534925722285,53.29807260350071,-27.982394240119632,745512973001293990,0,1735.2981097017998,2094.2064872229853,0.12466398,0.1069615,53.29807260350071,-27.982394240119632,6.828567e-06,6.0623884e-06,46873.37846830749,1766.941629428334,41865.06352450528,1026.5274652440266,False,46205.68317758676,1366.3384024423194,False,48628.45613760652,1944.5249884446253,False,45603.06777723357,2852.39215743392,False,48392.47631634072,3989.667708544784,False,0.1210357268403168,64.3281170428303,47021.66771572469,953.3652842222604,0.0,0.3635851598556331,False,83183.8046875,2459.810546875,False,87545.5078125,3500.716269621208,False,87120.6748046875,7182.574017141678,False,False,0.217899867923138,115.8095099132979,False,False
2MASS J03331152-2758569,53.29800052801999,-27.98248799667,2025071100812,-1,g,20250711,g_6,0.4424319799298609,53.29809225851047,-27.982395574680773,745512973135511713,0,1655.6719154846971,2094.924791480348,0.35601687,0.3615979,53.29809225851047,-27.982395574680773,1.983404e-05,2.0061017e-05,49293.53414082302,1809.165100805896,44425.52478502358,1039.7719981505095,False,49326.530807156654,1383.711304830253,False,52780.70812176134,1970.550271638366,False,50458.91568054394,2889.00083061888,False,48303.20345427324,4040.1049566704023,False,-0.3729707325773626,64.83307320825497,47177.9566103719,973.8058066757222,1.0,2.472275326326212e-05,False,87487.4765625,2454.204833984375,False,93613.94140625,3495.045523861912,False,85672.462890625,7165.6891721941165,False,False,-0.6615155716591816,114.99049051223986,False,False
2MASS J03331152-2758569,53.29800052801999,-27.98248799667,2025071100818,-1,i,20250711,i_39,0.2651748592926163,53.29803327664956,-27.98242025170151,745512973940818763,745512973940818261,1611.0129289464676,2071.1282057908443,0.014019364,0.017185748,53.29803327664956,-27.98242025170151,8.0094736e-07,9.368312e-07,518891.4635706826,1893.510012252375,463589.6594865239,1176.3037547359877,False,517122.7147045292,1504.1839380129004,False,542669.1024188574,2060.2881091475947,False,554022.5597569306,2964.963727302856,False,557950.0442317846,4109.743765012634,False,0.5118575989069074,64.51938147274156,501791.27943981753,1190.3632942117465,0.0,0.0002922854206902,False,800522.4375,2328.524658203125,False,840069.0595703125,3189.39163217665,False,863724.4443359375,6362.01428155816,False,False,0.7923718705026863,99.87805805835173,False,False
2MASS J03331152-2758569,53.29800052801999,-27.98248799667,2025071100819,-1,i,20250711,i_39,0.2987699690232858,53.29802513794943,-27.98240790110206,745512974075036570,745512974075036017,1668.5722377731315,2005.2245984026931,0.012727893,0.016057055,53.29802513794943,-27.98240790110206,7.284746e-07,8.7483375e-07,521424.6807725463,1946.456104557664,473255.0146008161,1210.788369751441,False,521195.2891242111,1546.003730367603,False,550470.5027352759,2125.406277083607,False,558343.3766824135,3049.823359585417,False,554936.137117925,4227.981014255067,False,-0.0131228548133753,67.53662819952491,520632.26180072647,1180.0110659208724,0.0,0.0011965088576563,False,786707.25,2333.582763671875,False,830896.1044921875,3208.1497324867314,False,837636.6622408628,6381.8368780077735,False,False,-0.0198080167603345,101.94174075210876,False,False
2MASS J03331152-2758569,53.29800052801999,-27.98248799667,2025071100820,-1,i,20250711,i_39,0.2789949999548926,53.29803218728223,-27.982415716770813,745512974209254244,745512974209253726,1680.804550169585,2001.131816264356,0.015314561,0.018730035,53.29803218728223,-27.982415716770813,8.726144e-07,1.0219417e-06,523551.72902001714,1933.153430164646,465930.8070675812,1192.3147336182092,False,524258.3647707293,1524.5510586168762,False,557104.61036957,2092.472483039673,False,575246.0883714627,3004.4911761094995,False,583304.7993251466,4160.180569737628,False,2.54407616572052,65.77886271195926,524130.3858109507,1232.380345718077,0.0,0.0042410350092649,False,801937.4375,2332.0458984375,False,852181.0498046875,3200.7730040167157,False,892258.4501953125,6363.664883233069,False,False,3.891573426844535,100.61934372370382,False,False
2MASS J03331152-2758569,53.29800052801999,-27.98248799667,2025071200713,-1,r,20250712,r_57,0.2921581688900542,53.29804147879821,-27.98241534435418,745517357894467824,0,1334.7983282333278,1527.9509216198749,0.029306803,0.029874891,53.29804147879821,-27.98241534435418,1.6320209e-06,1.6576403e-06,165065.6559726446,1359.9524395447215,151109.01662613355,822.5590580792182,False,164068.49800941526,1072.8392249837768,False,170819.18749852275,1500.4614775549785,False,173673.61559211503,2183.724098189336,False,173458.31879049278,3041.5643244061325,False,-0.6949947428806196,48.348709241238126,162003.34415950844,752.6786044493925,0.0,0.0021153893825002,False,306080.78125,2001.4534912109373,False,318674.64501953125,2799.2114687318085,False,323598.1213569641,5674.242136250513,False,False,-1.296559281315146,90.19775811038404,False,False
2MASS J03331152-2758569,53.29800052801999,-27.98248799667,2025071200714,-1,r,20250712,r_57,0.2981602739784869,53.29803956261955,-27.982412688800707,745517358028685586,0,1246.0460436942087,1594.7500020973562,0.023691839,0.019211568,53.29803956261955,-27.982412688800707,1.2977019e-06,1.0911206e-06,162559.07274989266,1342.963396747757,155191.25614945035,816.9988813429471,False,163113.77539472317,1063.2743361260582,False,169854.04988790723,1487.109840403505,False,174435.74555710194,2164.6996832572954,False,172146.75839450068,3014.989040239521,False,-0.0581450466931836,47.2103611002741,166037.34091050024,683.4743525775347,0.0,0.0013942592422442,False,306445.59375,1997.597900390625,False,319108.7021484375,2793.8673904832112,False,323416.06624382734,5664.329112302751,False,False,-0.1092384338134237,88.69518900850252,False,False
2MASS J03331152-2758569,53.29800052801999,-27.98248799667,2025071200735,-1,z,20250712,z_20,0.2805828794998957,53.29803196986729,-27.98241517055487,745517360847257942,0,1346.936969957447,1363.3093302165075,0.0066114175,0.0070005544,53.29803196986729,-27.98241517055487,3.691105e-07,3.8726486e-07,894107.3975257764,2215.464105915033,835514.2380010177,1465.3981880363408,False,906791.7590969128,1821.3920259741703,False,945050.4786379331,2443.566057528696,False,960420.5734453246,3452.9489704316875,False,960979.7228088656,4749.428369795937,False,2.521790075967272,74.92570176314301,858884.0752497534,1312.8784621775244,0.0,0.0025092408795308,False,1063869.875,2136.90087890625,False,1108755.923828125,2866.850398779883,False,1127444.4957466123,5572.143455657768,False,False,2.9586246963331884,87.90463319652109,False,False
2MASS J03331152-2758569,53.29800052801999,-27.98248799667,2025071200736,-1,z,20250712,z_20,0.2791820683705655,53.29803260070562,-27.98241580322844,745517360981475642,0,1343.9642331395887,1359.984303569528,0.0073822443,0.006975423,53.29803260070562,-27.98241580322844,4.0847928e-07,3.8929704e-07,853535.7363790711,2211.6197511891864,823853.8370156317,1471.790685487231,False,865520.508787866,1824.5798898967944,False,902487.1785053,2440.556133854723,False,918289.4950369376,3467.155146240017,False,923567.2060160672,4785.001310879466,False,2.5488056428723134,73.89454280057062,862252.1776526015,1345.0823343291286,0.0,0.000130887014204,False,1009097.6875,2127.2509765625,False,1052196.5864257812,2845.4086597390487,False,1076773.4818286896,5578.762962249323,False,False,2.971615177220235,86.1525654237287,False,False
2MASS J03331152-2758569,53.29800052801999,-27.98248799667,2025071200737,-1,z,20250712,z_20,0.2939496519138319,53.298033349859736,-27.9824116615635,745517361115693370,0,1341.4458601817996,1355.407887999728,0.0065915594,0.0066752764,53.298033349859736,-27.9824116615635,3.666139e-07,3.7044083e-07,860272.5563941476,2207.985817996277,821641.6149912797,1462.8048232926626,False,859287.0653730831,1811.6529069899825,False,884000.273875891,2435.7740974336275,False,898320.1758064117,3453.9136307796803,False,896068.7812372125,4747.585789937476,False,2.273569836645584,72.75911210364663,860171.3604814323,1333.2137370549026,0.0,0.0002000089096719,False,1004020.8125,2116.798095703125,False,1032896.5825195312,2846.0429429482383,False,1046997.8451299669,5547.243912204003,False,False,2.656517858410087,85.0142703118247,False,False
2MASS J03331152-2758569,53.29800052801999,-27.98248799667,2025071200738,-1,z,20250712,z_20,0.2904271812558539,53.29803121521711,-27.98241201021689,745517361249911090,0,1339.6974901965928,1350.231749295914,0.008100999,0.0073000584,53.29803121521711,-27.98241201021689,4.4679464e-07,4.0914043e-07,859287.0527961005,2225.296479870225,814921.1322236175,1465.4642272186804,False,862832.3934794951,1818.5346727596493,False,895051.5443910966,2442.9525742242504,False,914026.4616804798,3463.4537258231358,False,918907.8603953712,4763.368429984194,False,0.7212379451275125,74.72140033732768,851270.6351910504,1356.977475505052,0.0,0.0028489057497427,False,998869.6875,2105.25146484375,False,1036168.626953125,2828.117364198946,False,1063786.216524601,5514.378425128924,False,False,0.8349509433198872,86.50224814059744,False,False
2MASS J03331152-2758569,53.29800052801999,-27.98248799667,2025071200739,-1,z,20250712,z_20,0.2844909728067186,53.29803093844282,-27.98241367444873,745517361384128856,0,1335.8828789653,1347.165715722898,0.0062259696,0.0060654036,53.29803093844282,-27.98241367444873,3.452447e-07,3.376247e-07,863112.6172270991,2161.671358391909,831419.2399651654,1446.4782245498232,False,863539.3350843263,1785.7180287461713,False,885100.2853219303,2390.582356825739,False,892008.4956212221,3387.3339469677003,False,896182.7078816982,4661.499245035693,False,2.9616508256076046,71.30945584938831,860321.6786736025,1286.7683986464174,0.0,0.0001901618886754,False,1020316.625,2109.918701171875,False,1045792.0087890624,2824.5973553281115,False,1058886.4672851562,5507.803737360051,False,False,3.4993444444743536,84.25582989306376,False,False
2MASS J03331152-2758569,53.29800052801999,-27.98248799667,2025071700593,-1,g,20250717,g_6,0.3637591751959109,53.29806384095639,-27.98240383087311,745539332018798812,0,2012.6978865416568,1228.7855012156626,0.028542737,0.039030343,53.29806384095639,-27.98240383087311,2.016211e-06,1.7805756e-06,49310.77784464095,696.3394135507579,44502.26674730847,423.8158549844592,False,48341.34731118574,552.0452851894992,False,49166.60841935113,771.6849820709673,False,49072.41559248616,1121.0685021702504,False,50415.72244780539,1562.2652202298304,False,0.3704783513723865,24.665947813005317,48223.39441406942,376.3192654614835,0.0,0.0005383784464838,False,92499.0703125,1056.314697265625,False,94078.17163085938,1476.5857260078062,False,96468.29711914062,2989.32670458224,False,False,0.708894248483719,47.197220764091085,False,False
2MASS J03331152-2758569,53.29800052801999,-27.98248799667,2025071700594,-1,g,20250717,g_6,0.3458109700226708,53.29805717386983,-27.98240599113079,745539332153016541,0,2011.574352332384,1227.418381294172,0.03227297,0.04210368,53.29805717386983,-27.98240599113079,2.193607e-06,1.9729796e-06,47316.82041568974,693.4430451648816,43873.92759963867,421.9303009097772,False,47314.54746240987,549.575208732999,False,49462.31944914866,770.9590648556052,False,50484.94536603124,1119.6908352220116,False,49727.62449110951,1557.5535033288738,False,0.2290797902539177,24.724309402830347,47932.33303118251,374.9932408274677,0.0,2.436519751736199e-06,False,90810.546875,1054.796630859375,False,94932.75366210938,1479.6974303389063,False,95441.9521484375,2989.403745998823,False,False,0.4396715629055922,47.453229046764136,False,False
2MASS J03331152-2758569,53.29800052801999,-27.98248799667,2025071700595,-1,g,20250717,g_6,0.3452815143551289,53.29805996556457,-27.982407722454862,745539332287234279,0,2002.5221972542663,1224.2678962983764,0.032088257,0.038888834,53.29805996556457,-27.982407722454862,2.05807e-06,1.9044722e-06,47695.17499694735,689.421885522276,44242.63335456345,420.08696910303416,False,47236.3246414138,546.7583225697284,False,48784.13784261961,765.3513088719594,False,48580.74310924896,1112.3719078753036,False,48002.08856467768,1549.1312867766846,False,-0.4665794493432204,24.73024335820961,48234.1547290461,358.39278675957,0.0,0.017944316436497,False,91046.2265625,1053.85595703125,False,94029.57788085938,1475.1856584195227,False,92522.20751953124,2985.8918783717154,False,False,-0.8993142158453481,47.66660735842385,False,False
2MASS J03331152-2758569,53.29800052801999,-27.98248799667,2025071700602,-1,i,20250717,i_39,0.2948066833920254,53.298031573655,-27.982410831587952,745539333226758635,0,1996.3458682604164,1113.7830064509706,0.0049147177,0.005598685,53.298031573655,-27.982410831587952,2.9999183e-07,2.8548754e-07,518552.9676759454,1103.3889631516988,497345.1606582465,786.4076347864747,False,520149.1215974658,933.86186404978,False,535212.3590503605,1202.6438890305644,False,543720.1599717949,1654.0739108978294,False,545405.7737144758,2245.811564060182,False,5.092690844346389,35.96488421188006,516335.1963670202,801.4611036419827,0.0,0.0005602190706941,False,848226.125,1522.882568359375,False,872790.2951660156,1961.195209970524,False,889413.0678710938,3662.3267470153855,False,False,8.304836519681555,58.64924711864654,False,False
