simbad_id,target_ra,target_dec,visit,detector,band,day_obs,physical_filter,sep_arcsec,src_ra,src_dec,sourceId,parentSourceId,x,y,xErr,yErr,ra,dec,raErr,decErr,calibFlux,calibFluxErr,ap09Flux,ap09FluxErr,ap09Flux_flag,ap12Flux,ap12FluxErr,ap12Flux_flag,ap17Flux,ap17FluxErr,ap17Flux_flag,ap25Flux,ap25FluxErr,ap25Flux_flag,ap35Flux,ap35FluxErr,ap35Flux_flag,sky,skyErr,psfFlux,psfFluxErr,extendedness,sizeExtendedness,apFlux_12_0_flag,apFlux_12_0_instFlux,apFlux_12_0_instFluxErr,apFlux_17_0_flag,apFlux_17_0_instFlux,apFlux_17_0_instFluxErr,apFlux_35_0_flag,apFlux_35_0_instFlux,apFlux_35_0_instFluxErr,extendedness_flag,sizeExtendedness_flag,localBackground_instFlux,localBackground_instFluxErr,localBackground_flag,sky_source
EIS-DEEP CDFS-1 J 1  268,53.03390733251,-27.74214757276,2025071100809,-1,g,20250711,g_6,0.293430126403356,53.03399919077774,-27.742153407102165,745512972727615532,0,3470.243441340315,836.9042151574256,1.3016955,1.3455359,53.03399919077774,-27.742153407102165,7.2620365e-05,7.4512995e-05,17488.859875656544,1892.6478436329032,14641.996023127003,1068.9191315980554,False,15740.49203852227,1427.0276266880423,False,14954.056414302871,2035.8658070840168,False,11442.87812451272,2991.809341169639,False,14625.389455455965,4188.161532183736,False,0.4558853088092462,67.14290956685058,16171.572554959364,1074.9187631558143,0.0,0.0147812743977189,False,27035.681640625,2451.045654296875,False,25684.9091796875,3496.778861083485,False,25120.39472591877,7193.536362555907,False,False,0.7830231763683732,115.32386173393498,False,False
EIS-DEEP CDFS-1 J 1  268,53.03390733251,-27.74214757276,2025071100811,-1,g,20250711,g_6,0.2599540722390955,53.033931244427,-27.74207853420408,745512972996050992,0,3462.2681769881333,847.5470764683516,1.2423793,1.2404803,53.033931244427,-27.74207853420408,6.905349e-05,6.894212e-05,15541.616875764184,1742.8011661020648,13667.563512599978,1007.7130882557636,False,15045.607916133917,1345.5933292868524,False,13849.651676122565,1923.4541733826584,False,16724.35195615185,2824.532445912627,False,18385.94445093705,3953.444117199825,False,0.4884533184524641,61.34229813097669,15343.843141884114,919.5374718300292,0.0,0.2394045340938638,False,27248.00390625,2436.906005859375,False,25082.0947265625,3483.427663539086,False,33297.443945884705,7159.794496112476,False,False,0.8846022044042114,111.0925652461571,False,False
EIS-DEEP CDFS-1 J 1  268,53.03390733251,-27.74214757276,2025071100819,-1,i,20250711,i_39,0.2403227307092217,53.03397808011485,-27.74217071869496,745512974069793589,745512974069792907,3333.5121406840267,786.6911139767664,0.5112742,0.8871995,53.03397808011485,-27.74217071869496,3.122796e-05,4.7564477e-05,52622.75683033607,1862.3690266915628,47932.90482731719,1080.7248935486152,False,53507.182538164,1437.3451248950316,False,56251.45393288018,2048.913226108718,False,62826.76549332895,3002.9747422965406,False,60415.22665288831,4197.8007774442285,False,0.1831132831724044,66.35270176011728,45036.49564879583,923.5104027449468,1.0,0.0159189032418162,False,80329.7421875,2157.870361328125,False,84449.6865234375,3076.0107972509927,False,90700.71252143384,6302.111944804198,False,False,0.2749059496424507,99.61457832380933,False,False
EIS-DEEP CDFS-1 J 1  268,53.03390733251,-27.74214757276,2025071100820,-1,i,20250711,i_39,0.175814168367318,53.03396185688213,-27.74214006591134,745512974204011313,745512974204010629,3344.4069208306355,780.2014976485921,0.12712504,0.14327183,53.03396185688213,-27.74214006591134,7.1627824e-06,7.869513e-06,54068.27151614057,1846.31749016881,47942.55623092385,1065.6667261046855,False,54828.13967159096,1417.3867022018894,False,57805.88552226916,2015.5701875851896,False,61543.94689646498,2954.819928873171,False,70943.26716063252,4137.910343845796,False,3.2093622765032586,65.82158436840821,53006.674317688274,1029.3666326174794,0.0,0.0018772813114338,False,83196.7421875,2150.756103515625,False,87715.2021484375,3058.44543079078,False,107649.99037456512,6278.904630614448,False,False,4.869916935060253,99.8783000457826,False,False
EIS-DEEP CDFS-1 J 1  268,53.03390733251,-27.74214757276,2025071200713,-1,r,20250712,r_57,0.1870496510855487,53.03396517095983,-27.742138670981173,745517357889225427,745517357889224766,2825.6010085365165,395.96719405312274,0.08684975,0.09249788,53.03396517095983,-27.742138670981173,4.855106e-06,5.1132597e-06,40137.35647233596,1325.9710777659132,36764.90511416187,779.390613287989,False,39580.01026855021,1035.1976071862086,False,40243.1630032009,1471.719790081048,False,39423.40932998848,2154.786738028213,False,39725.22398151871,3015.946327675123,False,1.0617499731012936,47.88732525510199,39006.97410637601,639.7887553683165,0.0,0.0090238277188585,False,73852.6484375,1931.583251953125,False,75090.0302734375,2746.0933819345414,False,74123.60383188725,5627.477666956115,False,False,1.9811275176520349,89.3533319643276,False,False
EIS-DEEP CDFS-1 J 1  268,53.03390733251,-27.74214757276,2025071200714,-1,r,20250712,r_57,0.1612834131590032,53.03395724176825,-27.74214009371084,745517358023443257,745517358023442506,2736.8515828293603,462.7123848032129,0.09062802,0.068045385,53.03395724176825,-27.74214009371084,4.94464e-06,3.9019055e-06,39877.73193701185,1313.801910725831,36358.55364842244,774.7472694808332,False,39146.69451949644,1029.0617948214424,False,40690.32196967236,1463.101701812998,False,40328.619017814366,2144.2817795212227,False,40419.57398739113,2997.959799382857,False,0.8574691325192928,47.73074854789149,39594.28949805926,602.6490924694166,0.0,0.0055637128444593,False,73347.53125,1928.1102294921875,False,76239.76171875,2741.352727551759,False,75732.4724996984,5617.152425525057,False,False,1.6066042041441368,89.43111579851971,False,False
EIS-DEEP CDFS-1 J 1  268,53.03390733251,-27.74214757276,2025071200735,-1,z,20250712,z_20,0.1709038230454639,53.03395964129818,-27.742137065818817,745517360842014793,0,2765.556625040183,267.6994293683477,0.0519704,0.056259695,53.03395964129818,-27.742137065818817,2.9071248e-06,3.107629e-06,64248.79896787175,2022.156996197324,59982.16510728724,1204.5989642688942,False,62823.15238990356,1598.2666651075842,False,61963.30444833768,2272.906863249931,False,66080.43748493257,3332.6580011834667,False,70804.18721750278,4663.373214791005,False,1.9683308411895848,72.66341073799624,62606.39601043425,811.6589155657294,0.0,0.0038289301157844,False,73778.421875,1876.9766845703125,False,72768.63134765625,2669.2624464095884,False,83151.21092027426,5476.584719373614,False,False,2.3115736423025703,85.33465081522824,False,False
EIS-DEEP CDFS-1 J 1  268,53.03390733251,-27.74214757276,2025071200736,-1,z,20250712,z_20,0.1543611702014655,53.033955734459845,-27.742145723715986,745517360976233668,745517360976232521,2762.4499094685766,264.19117434472616,0.06190671,0.059262462,53.033955734459845,-27.742145723715986,3.4292066e-06,3.3033616e-06,64628.098185809686,2037.5878681956185,61444.82215696992,1211.894967587923,False,64204.0205843113,1608.291245014277,False,64514.82064015074,2286.131603400316,False,68608.41433742098,3349.2355931326265,False,63394.80587832087,4688.357720713334,False,-1.468228375240041,74.2106746151453,61450.15243124216,836.8809419928727,0.0,0.0138449094374769,False,74905.0,1876.3475341796875,False,75267.6015625,2667.164551288942,False,73960.91227775812,5469.773261455934,False,False,-1.7129401779898668,86.579477912101,False,False
EIS-DEEP CDFS-1 J 1  268,53.03390733251,-27.74214757276,2025071200737,-1,z,20250712,z_20,0.1737260498998513,53.03396171044589,-27.74214403346816,745517361110450249,0,2759.993126647825,259.65404293213817,0.049240343,0.049996532,53.03396171044589,-27.74214403346816,2.7396648e-06,2.774053e-06,61494.0383314957,2037.745258838993,57793.10348657402,1211.3620907567922,False,61684.91422261632,1608.3021160527458,False,63484.32218919305,2283.837013434739,False,66162.29244172944,3347.4506359384445,False,64048.57516391898,4681.418519628579,False,0.4983614323055734,74.9565843402069,61797.91626269124,811.2728142395591,0.0,0.0074953268494749,False,71711.3828125,1869.7208251953125,False,73803.2724609375,2655.059383899209,False,74459.24096772075,5442.351664056073,False,False,0.5793667366071757,87.14027378783689,False,False
EIS-DEEP CDFS-1 J 1  268,53.03390733251,-27.74214757276,2025071200738,-1,z,20250712,z_20,0.1615737316080356,53.03395698911952,-27.742138469300613,745517361244669055,745517361244667968,2758.0878222450747,254.1923589557815,0.07248151,0.063175336,53.03395698911952,-27.742138469300613,3.9898237e-06,3.5516962e-06,61404.23790015721,2050.662849447432,60094.34854941329,1215.0026686332867,False,62664.49338380435,1612.207016650559,False,65621.11883122739,2288.585685697275,False,73166.35060382128,3358.7650708059905,False,71063.00932121155,4695.420145735295,False,0.433412312047671,72.77772450560994,63622.47143562624,898.2320758935203,0.0,0.0072073204162752,False,72230.96875,1858.3294677734373,False,75638.9580078125,2637.965332821485,False,81911.61738312244,5412.231512628508,False,False,0.4995778227335284,83.8881041016992,False,False
EIS-DEEP CDFS-1 J 1  268,53.03390733251,-27.74214757276,2025071200739,-1,z,20250712,z_20,0.1614926546670029,53.03395697282778,-27.74213851080233,745517361378885703,0,2754.2329219534968,251.3266504491069,0.04574969,0.042699855,53.03395697282778,-27.74213851080233,2.5294141e-06,2.3853643e-06,62191.45950537564,1988.8900286633243,59334.63834808021,1188.3671332384963,False,60779.42524103054,1576.2178421897331,False,60278.56947946711,2238.9903509518203,False,60106.75248515741,3283.8041622668334,False,66398.74412864479,4595.280703416685,False,2.409544154536308,73.40358068955729,61823.96895574034,764.53917110086,0.0,0.0021329557501492,False,71451.0078125,1852.9683837890625,False,70862.21236419678,2632.109738181165,False,78056.96033915877,5402.114879145062,False,False,2.8326091852233235,86.29169816127903,False,False
EIS-DEEP CDFS-1 J 1  268,53.03390733251,-27.74214757276,2025071700590,-1,g,20250717,g_6,0.1774853272367615,53.03396041947912,-27.7421326371078,745539331613000467,745539331613000264,3337.9835015679582,3809.753902081146,0.109781,0.14402865,53.03396041947912,-27.7421326371078,7.4929403e-06,6.729214e-06,17073.502135854033,697.5793260898921,15351.191956936324,410.8831699663455,False,17218.406631090675,544.474480842946,False,18195.57189981199,770.1962508610752,False,19340.16614152137,1130.3192907791204,False,20115.841314314155,1578.6626990280324,False,0.4848022137040601,25.105433055004347,17071.099495219605,373.7539314055883,0.0,0.0044394111047064,False,32445.669921875,1025.9857177734375,False,34287.000681877136,1451.3267032143006,False,37905.47879770398,2974.7682203155946,False,False,0.9135417080250394,47.30766392039864,False,False
EIS-DEEP CDFS-1 J 1  268,53.03390733251,-27.74214757276,2025071700591,-1,g,20250717,g_6,0.1327894446693349,53.03394509772095,-27.74213197149226,745539331747218218,745539331747218000,3337.0,3809.0,,,53.03394509772095,-27.74213197149226,,,17191.18755446466,691.2374104850429,16203.595203984243,409.9254698064103,True,17440.065004361553,542.4536936434541,True,18909.31595137001,765.9831499046616,True,18857.76517147818,1124.9721848884076,True,20891.334201672937,1574.59012110678,True,0.875063130090215,24.806393494883658,42.207364582240665,10.355039442798434,,,True,32962.05078125,1025.2476806640625,True,35738.96269720793,1447.7225559896117,True,39485.01445788145,2976.004935680932,True,True,1.6538857695553155,46.88455013634039,True,False
EIS-DEEP CDFS-1 J 1  268,53.03390733251,-27.74214757276,2025071700592,-1,g,20250717,g_6,0.2022529442125148,53.03396578815416,-27.74216947498518,745539331881435982,745539331881435758,3336.0,3809.0,,,53.03396578815416,-27.74216947498518,,,16348.536450176844,686.2424711856402,15539.316139967495,407.14022533206406,True,17425.871577668207,539.4128883327016,True,19454.946542860005,761.8604617183814,True,21858.947584046968,1119.252125889908,True,22523.78739092212,1565.704165876407,True,0.8353583362612322,24.589243474183476,4377.8358964917215,163.41227661549743,,,True,33100.80078125,1024.6258544921875,True,36955.07033061981,1447.169586557104,True,42784.39651888609,2974.087203963149,True,True,1.586780308020584,46.70777274886308,True,False
