simbad_id,target_ra,target_dec,visit,detector,band,day_obs,physical_filter,sep_arcsec,src_ra,src_dec,sourceId,parentSourceId,x,y,xErr,yErr,ra,dec,raErr,decErr,calibFlux,calibFluxErr,ap09Flux,ap09FluxErr,ap09Flux_flag,ap12Flux,ap12FluxErr,ap12Flux_flag,ap17Flux,ap17FluxErr,ap17Flux_flag,ap25Flux,ap25FluxErr,ap25Flux_flag,ap35Flux,ap35FluxErr,ap35Flux_flag,sky,skyErr,psfFlux,psfFluxErr,extendedness,sizeExtendedness,apFlux_12_0_flag,apFlux_12_0_instFlux,apFlux_12_0_instFluxErr,apFlux_17_0_flag,apFlux_17_0_instFlux,apFlux_17_0_instFluxErr,apFlux_35_0_flag,apFlux_35_0_instFlux,apFlux_35_0_instFluxErr,extendedness_flag,sizeExtendedness_flag,localBackground_instFlux,localBackground_instFluxErr,localBackground_flag,sky_source
EIS-DEEP CDFS-4 H 1 1059,53.19135441342,-27.86761890995,2025071100809,-1,g,20250711,g_6,0.9385263598651244,53.19159757860624,-27.86776640703946,745512972731285782,0,836.0,3801.0,,,53.19159757860624,-27.86776640703946,,,35347.60628567164,1828.100757355507,32444.881241771203,1055.0635744045371,True,36652.7898226954,1405.697602809964,True,41234.2776162458,1993.8772525191096,True,41749.05299533139,2935.7045573931678,True,37411.91535309665,4110.138095745844,True,-1.1071928825076385,64.86431856557672,20774.07236019432,793.9944061606684,,,True,64854.0859375,2487.265869140625,True,72960.650390625,3528.001205617132,True,66197.2958984375,7272.550072339653,True,True,-1.9590864078530923,114.77205721253152,True,False
EIS-DEEP CDFS-4 H 1 1059,53.19135441342,-27.86761890995,2025071100810,-1,g,20250711,g_6,0.9226605038132174,53.19154864370186,-27.867809184032712,745512972865503509,0,834.780986066195,3805.076614450457,0.096687414,0.27061397,53.19154864370186,-27.867809184032712,7.110183e-06,1.4297277e-05,37377.626863557205,1777.269576119119,32722.142948285677,1030.5403381081735,False,37707.826953609416,1372.8299781406172,False,40856.36636959176,1953.534636679822,False,43744.12317992237,2869.2575732598766,False,45191.20745215488,4010.887096549279,False,-0.8905333011052827,63.00344436403984,8480.09274000139,414.6049860518281,1.0,0.5138488359504998,False,68103.1953125,2479.43505859375,False,73789.6962890625,3528.2317136762185,False,81618.748046875,7243.966289776746,False,False,-1.6083706815582794,113.78899882412132,False,False
EIS-DEEP CDFS-4 H 1 1059,53.19135441342,-27.86761890995,2025071100811,-1,g,20250711,g_6,0.9194580045747242,53.19157250908295,-27.867786417377182,745512972999721240,0,827.3434882246077,3813.45962926724,0.31151885,0.3393728,53.19157250908295,-27.867786417377182,1.7494202e-05,1.8692699e-05,36700.71096758757,1762.2326270597966,34343.38286296722,1021.6859881548384,False,37313.33281599311,1361.1012505301555,False,39551.86631425537,1941.509039458596,False,41440.9340132572,2851.8733198171017,False,36928.0835475667,3985.2486527800575,False,-0.4948520597393455,63.18126138293687,18296.79890067532,645.8717775773428,1.0,0.0998865009211192,False,67749.4375,2471.337646484375,False,71813.919921875,3525.1781440468544,False,67049.9443359375,7235.975297488195,False,False,-0.8984978334255707,114.71757133953346,False,False
EIS-DEEP CDFS-4 H 1 1059,53.19135441342,-27.86761890995,2025071100812,-1,g,20250711,g_6,0.8890409642406424,53.19156950503229,-27.86777648909776,745512973133938958,0,748.0,3814.0,,,53.19156950503229,-27.86777648909776,,,35143.911939211146,1783.007600940084,29913.86681800788,1033.3097970193437,True,35856.25559943535,1377.7671566398235,True,36310.9359424653,1953.6290591744364,True,40723.41392974281,2877.36141536002,True,40049.214760751216,4029.569612585304,True,-2.05074930001711,63.62909949139478,29156.14025476544,914.6032728238744,,,True,64233.2265625,2468.144775390625,True,65047.7451171875,3499.7490920109185,True,71744.5322265625,7218.608121441245,True,True,-3.6737311860572985,113.98575493373536,True,False
EIS-DEEP CDFS-4 H 1 1059,53.19135441342,-27.86761890995,2025071100818,-1,i,20250711,i_39,0.8843990308938162,53.19153854202298,-27.86780291065285,745512973939245770,0,703.0,3789.0,,,53.19153854202298,-27.86780291065285,,,348553.73777253256,1841.3508830441644,309624.6027934315,1126.8263640889795,True,349803.5020737539,1460.365359734451,True,368230.5356725357,2021.119282988716,True,376353.89111922745,2933.176403956953,True,380556.6086173589,4081.734117552586,True,1.516301975443609,63.76960866680191,108128.14245885378,637.9194178105913,,,True,543806.5,2270.292236328125,True,572453.2705078125,3142.0434525348605,True,591615.453125,6345.486912617748,True,True,2.3572516150373426,99.13659380160094,True,False
EIS-DEEP CDFS-4 H 1 1059,53.19135441342,-27.86761890995,2025071100819,-1,i,20250711,i_39,0.8477167143104556,53.19154903934668,-27.86777967818187,745512974073463526,0,731.9305310825446,3733.568643898556,0.017104048,0.021925228,53.19154903934668,-27.86777967818187,9.81702e-07,1.1929576e-06,348732.8329867231,1880.3506572547549,315995.6341937519,1141.5277241943106,False,348312.5472385106,1477.1602805058733,False,367393.1874803262,2053.5078396894364,False,380247.73868980457,2969.694566570854,False,383113.9250623481,4129.059951942988,False,0.1727683018099713,64.56309046313034,322348.11274112936,1044.1027839756682,1.0,0.0170538323576547,False,535665.5625,2271.70654296875,False,565009.443359375,3158.064332641367,False,589186.1714346409,6350.030279670671,False,False,0.2656982365548727,99.29077905421876,False,False
EIS-DEEP CDFS-4 H 1 1059,53.19135441342,-27.86761890995,2025071100820,-1,i,20250711,i_39,0.8433133915232324,53.19154588598113,-27.867780846262317,745512974207681226,0,743.7443971730222,3728.398349395665,0.017258368,0.0242631,53.19154588598113,-27.867780846262317,1.0055636e-06,1.3127693e-06,350589.71745978366,1881.907562860934,310960.1451094721,1135.6788069785944,False,349562.16987738427,1472.2027407591154,False,370299.7250601793,2048.0255358213585,False,378791.1489950225,2961.597016085132,False,379808.5000787338,4117.917062351726,False,-2.6922071547353603,64.7323199502318,349475.833825408,1135.6140180681705,0.0,0.0002039536417466,False,537267.4375,2262.735107421875,False,569140.4892578125,3147.758900659275,False,583755.21484375,6329.125227433192,False,False,-4.137848325381429,99.49179476512126,False,False
EIS-DEEP CDFS-4 H 1 1059,53.19135441342,-27.86761890995,2025071200713,-1,r,20250712,r_57,0.8654378724641993,53.19155535520458,-27.86778088669851,745517357892895319,0,317.80412246343315,3288.886907659757,0.026792523,0.027091758,53.19155535520458,-27.86778088669851,1.4908992e-06,1.5040457e-06,107249.94135933647,1336.0668861656738,98678.95561816506,799.5068707603976,False,106906.994932083,1050.9521933351928,False,112329.01399022945,1482.4101310575898,False,113091.8521958714,2163.167799856265,False,114984.89776311828,3017.331575607308,False,0.7339418668812843,47.00044475065346,109171.79440660415,717.8415681541455,0.0,0.0007285333053994,False,200655.71875,1972.5516357421875,False,210832.40673828125,2782.363029833662,False,215817.2841796875,5663.285516492048,False,False,1.377549082857861,88.2160052202702,False,False
EIS-DEEP CDFS-4 H 1 1059,53.19135441342,-27.86761890995,2025071200714,-1,r,20250712,r_57,0.8681992769731792,53.19155158114321,-27.86778558347563,745517358027113068,0,229.22021552677836,3355.6923313735674,0.025493797,0.022234805,53.19155158114321,-27.86778558347563,1.4030544e-06,1.2517862e-06,108227.70563903423,1325.3854187661432,99498.97691105444,795.9852165601278,False,106186.78364238792,1045.499014802135,False,108043.53368912455,1474.3519800515214,False,108026.03354839064,2151.2745693506354,False,105406.60732800394,3000.984548341384,False,-0.5601138332509907,47.43626578717205,109196.88140847773,653.864678980223,0.0,0.0084311099434367,False,199940.046875,1968.5794677734373,False,203436.13818359372,2776.0705606688925,False,198471.0458984375,5650.580709622422,False,False,-1.0546433579972834,89.31817011242562,False,False
EIS-DEEP CDFS-4 H 1 1059,53.19135441342,-27.86761890995,2025071200735,-1,z,20250712,z_20,0.8577395294051364,53.191549390577656,-27.867783404400164,745517360845685662,0,296.69750204571375,3137.601907726691,0.008153093,0.008907128,53.191549390577656,-27.867783404400164,4.564101e-07,4.917514e-07,600502.6325729646,2148.97434821403,574267.3395705577,1385.0369364061205,False,600931.8265258413,1746.666050479456,False,619570.7873056278,2386.232358552729,False,626709.6472486539,3417.621908791219,False,632386.7473792621,4729.271658475813,False,3.357483026477569,75.60854310307775,606075.1188503385,1191.4856026740326,0.0,0.0003359995729507,False,705736.625,2051.291259765625,False,727626.2915039062,2802.40036698801,False,742677.4038085938,5554.07464147241,False,False,3.943040849242109,88.79496088469952,False,False
