simbad_id,target_ra,target_dec,visit,detector,band,day_obs,physical_filter,sep_arcsec,src_ra,src_dec,sourceId,parentSourceId,x,y,xErr,yErr,ra,dec,raErr,decErr,calibFlux,calibFluxErr,ap09Flux,ap09FluxErr,ap09Flux_flag,ap12Flux,ap12FluxErr,ap12Flux_flag,ap17Flux,ap17FluxErr,ap17Flux_flag,ap25Flux,ap25FluxErr,ap25Flux_flag,ap35Flux,ap35FluxErr,ap35Flux_flag,sky,skyErr,psfFlux,psfFluxErr,extendedness,sizeExtendedness,apFlux_12_0_flag,apFlux_12_0_instFlux,apFlux_12_0_instFluxErr,apFlux_17_0_flag,apFlux_17_0_instFlux,apFlux_17_0_instFluxErr,apFlux_35_0_flag,apFlux_35_0_instFlux,apFlux_35_0_instFluxErr,extendedness_flag,sizeExtendedness_flag,localBackground_instFlux,localBackground_instFluxErr,localBackground_flag,sky_source
[MBR2003] CDFS-H   73,52.94376293322,-27.62896071658,2025071100809,-1,g,20250711,g_6,0.2389514386646099,52.94383776532962,-27.62895753182637,745512972707168449,0,2790.926992687195,2687.207020894579,1.9207115,0.8764077,52.94383776532962,-27.62895753182637,0.00010207098,5.7984937e-05,10981.110919244573,1852.752060017579,9110.851352345397,1048.016468209987,False,11153.653860645169,1399.970029988093,False,12040.190331622038,1997.0544572165688,False,13368.451004020117,2936.96796919748,False,16288.325073977656,4109.239987588098,False,0.0045291353406654,64.14790415743944,11640.587020062158,1078.932875583151,0.0,0.677670278311427,False,19537.171875,2452.24169921875,False,21090.0634765625,3498.117895880092,False,28531.2607421875,7197.903836374539,False,False,0.0079334087915293,112.36395217238952,False,False
[MBR2003] CDFS-H   73,52.94376293322,-27.62896071658,2025071100810,-1,g,20250711,g_6,0.2804010773052398,52.94369687392115,-27.629012110887704,745512972841386182,0,2787.823273310368,2690.5500049771954,0.45316222,0.4433399,52.94369687392115,-27.629012110887704,2.5152909e-05,2.469771e-05,7992.956986313319,1785.2588298145156,8365.274628699444,1022.9332610617876,False,8612.557339056013,1366.787914242487,False,8155.528403209598,1951.1824149842687,False,13515.53042812788,2868.0141449431817,False,11531.360447057765,4017.280176196537,False,1.291486018033747,63.3671948387816,9284.079735317144,977.451781956125,0.0,0.1961554205493388,False,15397.01171875,2443.461181640625,False,14579.962890625,3488.20650199869,False,20615.072265625,7181.851744534188,False,False,2.308840983164577,113.2840575809709,False,False
[MBR2003] CDFS-H   73,52.94376293322,-27.62896071658,2025071100811,-1,g,20250711,g_6,0.0443146870208388,52.94377165912746,-27.628951137409004,745512972975603927,0,2782.804640378686,2698.7366133065334,0.3765441,0.4645152,52.94377165912746,-27.628951137409004,2.1529708e-05,2.5322714e-05,11479.24379788914,1743.979603816934,11249.16564046841,1008.3717370481234,False,11969.999821570296,1345.9984349263757,False,14949.543534901515,1920.392593416856,False,11848.420909820015,2820.729691003606,False,11098.824991229869,3948.747838525423,False,0.7837508487014262,62.77898973774946,12327.51625772459,906.341104322606,1.0,0.2494153365574127,False,21711.15625,2441.36865234375,False,27115.4453125,3483.203364955975,False,20131.021484375,7162.229122141156,False,False,1.421565362646304,113.8683772540456,False,False
[MBR2003] CDFS-H   73,52.94376293322,-27.62896071658,2025071100812,-1,g,20250711,g_6,0.0102621943049871,52.94376338009315,-27.628963539561628,745512973109821641,0,2702.0,2699.0,2.2726927,2.2375143,52.94376338009315,-27.628963539561628,0.00012623741,0.00012457998,10534.875580770988,1773.4337330833305,10714.51775759972,1022.912654155384,True,11854.932020842449,1365.7798037971593,True,15032.266862252842,1940.8455041765549,True,15843.258532027903,2860.933482815275,True,14067.092060065675,4009.1976284160473,True,-0.3331111680570595,64.14117452525731,10796.29321114083,978.7275472501524,,,True,21145.87890625,2436.168701171875,True,26813.3544921875,3461.924871007457,True,25091.7529296875,7151.2858456429885,True,True,-0.5941770403803219,114.40989345456866,True,False
[MBR2003] CDFS-H   73,52.94376293322,-27.62896071658,2025071100820,-1,i,20250711,i_39,0.0612366911930839,52.94378195565413,-27.62895841155071,745512974183564202,745512974183563740,2636.908035173712,2636.852774895105,0.055017702,0.059884388,52.94378195565413,-27.62895841155071,3.0869378e-06,3.298596e-06,56183.63463945597,1834.187405067098,49428.37647729806,1062.902405262578,False,57733.70491044871,1413.8328235136105,False,63091.34841401882,2006.104331494326,False,67970.09359835109,2945.7819398280685,False,68577.06639593325,4119.621073863593,False,0.1427513074847335,65.04649943119588,56786.630151397054,1040.5125606460567,0.0,0.0074675010722241,False,87625.2890625,2145.84375,False,95756.8486328125,3044.7634048323443,False,104082.79315042496,6252.551918938653,False,False,0.2166606941612675,98.7242776815236,False,False
[MBR2003] CDFS-H   73,52.94376293322,-27.62896071658,2025071200713,-1,r,20250712,r_57,0.0490729453095277,52.94377272442098,-27.62895020164476,745517357868777883,0,2040.782113488582,2277.136466109257,0.10033207,0.096674725,52.94377272442098,-27.62895020164476,5.5624214e-06,5.389189e-06,31260.690722434323,1314.2739448216985,31122.840878648,773.7848224597501,False,32455.692369817836,1028.5171768958155,False,35284.51727495177,1463.002043006633,False,34940.31253529997,2146.223316960426,False,39427.37858571571,3002.599928197917,False,1.3932106850774693,47.397734409788455,33169.58062883979,642.3838492961694,0.0,0.0015111700858055,False,60761.04296875,1925.510498046875,False,66056.95068359375,2738.919539463024,False,73812.89596581459,5621.235904517643,False,False,2.608261544259544,88.73438114580951,False,False
[MBR2003] CDFS-H   73,52.94376293322,-27.62896071658,2025071200714,-1,r,20250712,r_57,0.0513293279169772,52.94377550802517,-27.628951818530822,745517358002995633,0,1952.3513068780103,2343.826258909728,0.10811968,0.075299315,52.94377550802517,-27.628951818530822,5.880363e-06,4.3657933e-06,31301.34683429486,1307.5212543088555,30055.000325825047,769.4747778324504,False,33118.914523789026,1023.1724429477928,False,36693.68875349154,1455.8289595601202,False,36184.80197651796,2135.3829856655366,False,37983.55361946417,2985.415882292869,False,0.2211004668427879,47.92114340282898,32576.193829544547,597.9572369923802,0.0,0.0021898846903071,False,62193.86328125,1921.4110107421875,False,68906.916015625,2733.894772026114,False,71329.1475494504,5606.299297267929,False,False,0.4152035899716343,89.99090350427775,False,False
[MBR2003] CDFS-H   73,52.94376293322,-27.62896071658,2025071200735,-1,z,20250712,z_20,0.0417305768066749,52.94377503875432,-27.628956318626194,745517360821568173,0,1948.99838712954,2159.185799586336,0.04330335,0.04819295,52.94377503875432,-27.628956318626194,2.428366e-06,2.6567639e-06,75609.7971515887,2004.2392948634008,71223.36250299637,1199.974371450583,False,74977.3594024281,1589.8082942072851,False,75985.10016778955,2249.174599321955,False,78424.87566688619,3304.80375449397,False,83668.21782867647,4618.674949651063,False,2.3420802862371675,75.1141842525893,74613.2581799868,818.7121327909729,0.0,0.0002925817802562,False,88322.1328125,1872.768798828125,False,89509.2353515625,2649.491783427384,False,98559.82534122468,5440.725381262723,False,False,2.758933199931793,88.48331030240232,False,False
[MBR2003] CDFS-H   73,52.94376293322,-27.62896071658,2025071200736,-1,z,20250712,z_20,0.0598560113689149,52.9437812542159,-27.62895711470261,745517360955785881,0,1946.0992744796629,2155.4872392111256,0.051872905,0.047822595,52.9437812542159,-27.62895711470261,2.8659267e-06,2.6740793e-06,74529.76445505254,2017.416958772223,68756.16666469203,1200.8567992710027,False,73751.47289952775,1592.5197602904432,False,73894.46472910758,2259.938527685963,False,73131.31914416836,3308.109413346569,False,74841.44289574251,4628.980273742704,False,1.104523718717358,73.22802683667959,72367.65184186042,831.9765298361073,0.0,0.0006940060838567,False,86589.34375,1869.7286376953125,False,86757.22607421875,2653.32455521606,False,87869.04411351681,5434.743854961609,False,False,1.2967874430160435,85.97478177193226,False,False
[MBR2003] CDFS-H   73,52.94376293322,-27.62896071658,2025071200737,-1,z,20250712,z_20,0.0522524021683023,52.94377796596629,-27.628954946959897,745517361090003600,0,1943.5323947512877,2150.8968660915707,0.046858653,0.04480278,52.94377796596629,-27.628954946959897,2.5954898e-06,2.497503e-06,70539.19202797108,2012.6253392960168,67518.44920272035,1197.8491285649625,False,71506.99877608249,1588.089183109247,False,73757.75023068773,2255.789064737187,False,70846.56750567675,3300.252280953619,False,75041.20653037887,4618.885360952972,False,-0.5760277785344947,71.93598882460638,72127.46840221054,806.3232901764575,0.0,0.0004056067820442,False,83877.0390625,1862.813720703125,False,86517.1494140625,2646.019421010962,False,88022.6316189766,5417.909218355347,False,False,-0.6756751829638161,84.38024036689453,False,False
