simbad_id,target_ra,target_dec,visit,detector,band,day_obs,physical_filter,sep_arcsec,src_ra,src_dec,sourceId,parentSourceId,x,y,xErr,yErr,ra,dec,raErr,decErr,calibFlux,calibFluxErr,ap09Flux,ap09FluxErr,ap09Flux_flag,ap12Flux,ap12FluxErr,ap12Flux_flag,ap17Flux,ap17FluxErr,ap17Flux_flag,ap25Flux,ap25FluxErr,ap25Flux_flag,ap35Flux,ap35FluxErr,ap35Flux_flag,sky,skyErr,psfFlux,psfFluxErr,extendedness,sizeExtendedness,apFlux_12_0_flag,apFlux_12_0_instFlux,apFlux_12_0_instFluxErr,apFlux_17_0_flag,apFlux_17_0_instFlux,apFlux_17_0_instFluxErr,apFlux_35_0_flag,apFlux_35_0_instFlux,apFlux_35_0_instFluxErr,extendedness_flag,sizeExtendedness_flag,localBackground_instFlux,localBackground_instFluxErr,localBackground_flag,sky_source
EIS-DEEP CDFS-1 J 1 1353,53.05270859649,-27.72511030825,2025071100809,-1,g,20250711,g_6,0.0901818451489808,53.052701459379215,-27.725134549019,745512972727615523,0,3853.0,647.0,,,53.052701459379215,-27.725134549019,,,19255.520348094225,1879.587020881324,15295.194677884558,1068.80618342682,True,18683.21435372641,1426.1185991344971,True,19855.40109897206,2025.818430393142,True,20586.74124290933,2986.611252405504,True,19002.293890733195,4185.071806038939,True,0.0777204951796632,66.754589711787,15364.80114236773,975.6240118029144,,,True,32075.80859375,2448.39599609375,True,34088.248046875,3477.975630356193,True,32623.6123046875,7185.035704245948,True,True,0.1334324854383059,114.60594530525871,True,False
EIS-DEEP CDFS-1 J 1 1353,53.05270859649,-27.72511030825,2025071100811,-1,g,20250711,g_6,0.1413771381077677,53.05272619227048,-27.725146358847542,745512972996050982,0,3845.726464930576,659.5709910312428,0.9441678,0.7570103,53.05272619227048,-27.725146358847542,5.1448576e-05,4.3338252e-05,18156.476375182363,1741.065678428763,16164.974037525835,1007.5418476020776,False,17633.243983719018,1345.060361832224,False,18039.584853178705,1921.860603292277,False,18102.88027548104,2821.241948680722,False,15191.89667387299,3948.5381966905584,False,-0.7081116440090116,62.63261598939791,17087.710833552846,914.3480623781568,0.0,0.1320217503162331,False,31920.1796875,2434.864990234375,False,32655.7490234375,3479.0045353003816,False,27500.7861328125,7147.751647835886,False,False,-1.2818430310638442,113.37927147867362,False,False
EIS-DEEP CDFS-1 J 1 1353,53.05270859649,-27.72511030825,2025071100819,-1,i,20250711,i_39,0.1585242949098207,53.05271506113304,-27.72515396936827,745512974069792877,0,3714.3279498400266,592.6476576403194,0.18564558,0.10786493,53.05271506113304,-27.72515396936827,9.961969e-06,6.5739155e-06,48450.40453192788,1858.600904639281,43268.69389803747,1078.6529735678853,False,47592.30622407859,1435.0713722836213,False,48826.38898052856,2041.139823417392,False,46327.34559597682,2997.610104041483,False,45965.18770951925,4195.07924060149,False,-1.4124367787137486,66.11784110836938,45646.77019276428,983.6572538192296,1.0,0.0289178618905784,False,71467.65625,2154.9951171875,False,73320.833984375,3065.1063340228816,False,69024.27083957195,6299.599765079946,False,False,-2.121005561291768,99.28678635737926,False,False
EIS-DEEP CDFS-1 J 1 1353,53.05270859649,-27.72511030825,2025071100820,-1,i,20250711,i_39,0.2554839099359535,53.0526960750024,-27.72518040510669,745512974204010608,0,3725.0,587.0,,,53.0526960750024,-27.72518040510669,,,48630.61129180344,1837.0199800749688,43023.5405565809,1064.9675943922216,True,49160.16463020388,1416.6893938799967,True,53196.06032391341,2006.9262628079127,True,55858.627495341694,2953.6761475585863,True,56751.41276806395,4135.664225946481,True,-0.1160126567051259,64.44498136286859,44527.914191609445,1010.1980523978746,,,True,74614.859375,2150.238525390625,True,80740.505859375,3046.0947802319365,True,86136.7880859375,6277.074272685061,True,True,-0.1760829755328918,97.81401787374352,True,False
EIS-DEEP CDFS-1 J 1 1353,53.05270859649,-27.72511030825,2025071200713,-1,r,20250712,r_57,0.1850524212478574,53.05273246890519,-27.725157167289485,745517357889224730,0,3200.2490218919224,190.36557529054795,0.048529387,0.046118464,53.05273246890519,-27.725157167289485,2.68716e-06,2.5739125e-06,37637.92510667368,1323.201585262437,33725.618934643106,777.5790598538191,False,36580.932391302194,1033.450422010185,False,38122.405369772096,1470.1325648400511,False,34690.59228462244,2154.471619616223,False,38350.15105788829,3014.277428529742,False,1.0911549899052948,47.513345220783,35003.38681626078,611.9726826801469,0.0,0.0168127644010209,False,68330.2421875,1930.40234375,False,71209.58984375,2746.0894962627085,False,71635.00048828125,5630.428019399647,False,False,2.038189839635025,88.75111086141527,False,False
EIS-DEEP CDFS-1 J 1 1353,53.05270859649,-27.72511030825,2025071200714,-1,r,20250712,r_57,0.1925937471758941,53.05272874973874,-27.72516074452963,745517358023442466,0,3111.593454355572,257.16808629081584,0.07503732,0.06175838,53.05272874973874,-27.72516074452963,4.1142903e-06,3.4996176e-06,36413.50847532546,1311.3104416351437,33699.01416689029,773.6236059905453,False,36188.63413976498,1027.7530155809272,False,37016.18621441991,1460.5554665618554,False,37452.9532548278,2142.389265664649,False,40677.08379034475,2998.760928000717,False,-0.0093564214920384,47.88633739264596,35805.13708397405,592.624961765758,0.0,0.0014556849507467,False,67811.0703125,1925.8265380859373,False,69361.755859375,2736.821430060621,False,76221.62744140625,5619.145153521811,False,False,-0.017532271409294,89.73048773821176,False,False
EIS-DEEP CDFS-1 J 1 1353,53.05270859649,-27.72511030825,2025071200735,-1,z,20250712,z_20,0.1923623789454793,53.05272987798465,-27.725160311405197,745517360842014734,0,3137.6304380935985,57.2182800144975,0.045208316,0.04847098,53.05272987798465,-27.725160311405197,2.5266893e-06,2.67918e-06,55212.12506437725,2018.9714127901627,52080.59939642119,1200.6850735565308,False,56306.17853069993,1595.5295457281609,False,59101.05072774758,2268.14122507176,False,59278.14700002207,3325.345948924409,False,62428.51687146366,4653.732575849405,False,1.5247314042060516,73.63686134719418,55475.14329975305,806.0933798040332,0.0,0.0105750976848322,False,66166.828125,1874.947509765625,False,69451.15380859375,2665.35066876762,False,73361.34423828125,5468.719979247958,False,False,1.7917508058886484,86.5325560278915,False,False
EIS-DEEP CDFS-1 J 1 1353,53.05270859649,-27.72511030825,2025071200736,-1,z,20250712,z_20,0.1900831385537151,53.05272161351497,-27.725161836526173,745517360976232458,0,3134.483441903039,53.521079360730425,0.06032726,0.06163991,53.05272161351497,-27.725161836526173,3.3581402e-06,3.4184156e-06,53450.00699044558,2030.2690133401195,53189.7378552687,1208.78881527411,False,55345.29060176739,1605.5044496906326,False,58169.401167237,2286.04083431591,False,62605.50801666966,3357.8105885834,False,62317.77181801651,4686.267144432704,False,0.7041212213636482,73.39296066369262,55483.81737118976,834.0780850921143,0.0,6.668963979494791e-06,False,64545.9609375,1872.405517578125,False,67839.55517578125,2666.075122000944,False,72677.55615234375,5465.318056123527,False,False,0.8211752139205769,85.59389824461235,False,False
EIS-DEEP CDFS-1 J 1 1353,53.05270859649,-27.72511030825,2025071200737,-1,z,20250712,z_20,0.2104985436282288,53.052728726148445,-27.725165998933527,745517361110450187,0,3132.0006166480744,49.10718538866772,0.042994693,0.04139996,53.052728726148445,-27.725165998933527,2.3826835e-06,2.3066495e-06,53849.2248045024,2033.1542195959985,51906.11580309676,1210.974521996871,False,55224.54121285837,1608.2930139410948,False,56441.90897945169,2276.563305970016,False,61773.24651507472,3348.7406726092504,False,65791.89373651876,4685.434884879885,False,2.889600451930284,72.71410501281098,54076.99449168336,804.8291234532101,0.0,0.0007407764474821,False,64145.65234375,1868.1007080078125,False,65559.6767578125,2644.3250619398373,False,76420.08154296875,5442.331807634898,False,False,3.356393768622293,84.46052421984952,False,False
EIS-DEEP CDFS-1 J 1 1353,53.05270859649,-27.72511030825,2025071200738,-1,z,20250712,z_20,0.2187122201710726,53.05272760684605,-27.72516868462474,745517361244667912,0,3130.182252544024,43.79331742859836,0.04801756,0.048213232,53.05272760684605,-27.72516868462474,2.6689981e-06,2.6773646e-06,55202.36789248386,2050.230228449972,52994.13703013364,1211.9214187335642,False,56749.21152174371,1609.5445195005143,False,60331.32155861137,2289.97092734846,False,63186.18082224972,3357.85380472036,False,67581.40718836743,4692.8194490284495,False,1.4863606453767342,73.82645336634226,54822.70870475237,882.2981765501802,0.0,2.2758790562127373e-06,False,65424.05859375,1855.5841064453125,False,69553.740234375,2640.0224445660497,False,77912.0947265625,5410.177275951923,False,False,1.7135699923744694,85.11177655671361,False,False
