simbad_id,target_ra,target_dec,visit,detector,band,day_obs,physical_filter,sep_arcsec,src_ra,src_dec,sourceId,parentSourceId,x,y,xErr,yErr,ra,dec,raErr,decErr,calibFlux,calibFluxErr,ap09Flux,ap09FluxErr,ap09Flux_flag,ap12Flux,ap12FluxErr,ap12Flux_flag,ap17Flux,ap17FluxErr,ap17Flux_flag,ap25Flux,ap25FluxErr,ap25Flux_flag,ap35Flux,ap35FluxErr,ap35Flux_flag,sky,skyErr,psfFlux,psfFluxErr,extendedness,sizeExtendedness,apFlux_12_0_flag,apFlux_12_0_instFlux,apFlux_12_0_instFluxErr,apFlux_17_0_flag,apFlux_17_0_instFlux,apFlux_17_0_instFluxErr,apFlux_35_0_flag,apFlux_35_0_instFlux,apFlux_35_0_instFluxErr,extendedness_flag,sizeExtendedness_flag,localBackground_instFlux,localBackground_instFluxErr,localBackground_flag,sky_source
[MBR2003] CDFS-H  451,53.14729879712,-27.61771333149,2025071100809,-1,g,20250711,g_6,0.0492192526206489,53.14731358377367,-27.61771723854442,745512972710838586,0,1666.0727441589463,3568.1841353922687,0.2068628,0.16811335,53.14731358377367,-27.61771723854442,1.1285739e-05,9.604071e-06,50411.63992893506,1836.328083099544,42557.99072757253,1055.5399998080438,False,47997.574315459744,1405.5519130349255,False,51626.730196305296,1997.9887900258243,False,48497.33117123648,2934.04214169774,False,47952.94371771605,4102.866142865362,False,-0.7273093506070691,64.94022204197225,47314.973883765175,1028.5822295168516,0.0,0.01891144182197,False,84941.984375,2487.425048828125,False,91364.552734375,3535.868947634195,False,84863.0009765625,7260.9000927726975,False,False,-1.287129618030684,114.92562706906456,False,False
[MBR2003] CDFS-H  451,53.14729879712,-27.61771333149,2025071100810,-1,g,20250711,g_6,0.0706464490988261,53.14727754074373,-27.61771884203697,745512972845056308,0,1665.194658390995,3572.0282205727453,0.06330914,0.0655553,53.14727754074373,-27.61771884203697,3.532275e-06,3.6291783e-06,54420.20156665916,1768.814101394447,46309.81425820745,1029.3131598051536,False,51432.38679688456,1369.738377608789,False,52163.82319150494,1944.8891208124896,False,49784.36338754963,2858.265634992488,False,47683.33051311967,3995.116010244652,False,-0.9145899612430514,63.57977765287957,51385.14754384808,951.4311747927068,0.0,0.0469763260718804,False,93181.4453125,2481.592041015625,False,94506.6083984375,3523.608188077377,False,86389.1787109375,7238.059658710121,False,False,-1.6569873529978416,115.18920165496912,False,False
[MBR2003] CDFS-H  451,53.14729879712,-27.61771333149,2025071100811,-1,g,20250711,g_6,0.0471708885096474,53.14728927891644,-27.61772335954685,745512972979274039,0,1657.2417211907534,3580.892779695273,0.066872366,0.055674165,53.14728927891644,-27.61772335954685,3.654215e-06,3.1683926e-06,50327.748119842254,1765.9892486409285,45399.54924550558,1025.7181811295488,False,48514.28913736431,1364.3288110204892,False,48709.896754235146,1940.604878784353,False,48077.72262916133,2848.2816073110826,False,43722.92960128408,3981.7365613407137,False,-1.1615458844719002,63.43466486646964,50214.53513280519,921.123976358116,0.0,0.0064917735552098,False,88012.625,2475.109130859375,False,88367.48828125,3520.5654355981123,False,79320.337890625,7223.502457797914,False,False,-2.107228698350308,115.08055606226252,False,False
[MBR2003] CDFS-H  451,53.14729879712,-27.61771333149,2025071100812,-1,g,20250711,g_6,0.0571930650797898,53.14728618850059,-27.61772462671333,745512973113491756,0,1577.2715700984493,3581.729728945696,0.07753119,0.08104437,53.14728618850059,-27.61772462671333,4.332334e-06,4.480944e-06,53081.37066168268,1787.0523654380115,45021.77375128152,1035.1711011643404,False,51388.297407767954,1377.694585004709,False,52363.06305570881,1959.809288678529,False,48180.828977704776,2875.592614281659,False,44644.893193094416,4020.942868895488,False,-1.9935920109691383,63.45360654654172,51201.66701474196,965.5391774584994,0.0,0.0012955515546245,False,92130.7265625,2469.978759765625,False,93878.3203125,3513.614242891721,False,80040.9169921875,7208.886199091044,False,False,-3.5741810821702398,113.76183234395694,False,False
[MBR2003] CDFS-H  451,53.14729879712,-27.61771333149,2025071100814,-1,g,20250711,g_6,0.1315175078466472,53.14728555007362,-27.61774792716501,745512973381927175,0,1499.0,3583.0,2.8148632,1.7100059,53.14728555007362,-27.61774792716501,0.00015091295,0.00010366608,52032.35821459113,1883.9916937177,42748.76381819215,1071.8202299529723,True,51805.06508433125,1427.7332742043425,True,56276.27755219174,2023.4059609701676,True,58042.7237348847,2979.037724171608,True,51855.303139744094,4171.78211630928,True,-1.8970891012680533,66.10052223821623,40469.427681227,1036.9005735074195,,,True,89151.7578125,2456.997802734375,True,96846.3037109375,3482.0957737459007,True,89238.212890625,7179.253771311516,True,True,-3.264716062602473,113.75292628758012,True,False
[MBR2003] CDFS-H  451,53.14729879712,-27.61771333149,2025071100817,-1,i,20250711,i_39,0.0376124836632575,53.14729789160799,-27.617723748549142,745512973784580764,0,1482.0756737793554,3579.7460452419928,0.019775633,0.023398217,53.14729789160799,-27.617723748549142,1.1231064e-06,1.2791256e-06,81825.67132771204,1843.6495032036728,68795.42285300721,1074.2795451509512,False,80051.91741432456,1426.251846344848,False,86295.87286075346,2023.7240398572792,False,84500.6811863254,2964.868953115506,False,84972.39060690014,4143.35808607215,False,-0.1357465933769261,65.37340601179181,79890.42030034047,1065.04304873247,0.0,0.0536297727160997,False,122500.21875,2182.53564453125,False,132055.091796875,3096.8232314669053,False,130029.8203125,6340.413675245661,False,False,-0.2077275338350002,100.03828509726684,False,False
[MBR2003] CDFS-H  451,53.14729879712,-27.61771333149,2025071100818,-1,i,20250711,i_39,0.0422358894629552,53.147288493350416,-27.617720699785817,745512973918798550,0,1533.064551896496,3554.0225068098293,0.014565257,0.0149907265,53.147288493350416,-27.617720699785817,8.1214495e-07,8.303956e-07,78722.72350616584,1788.3587636020925,73075.8182365101,1053.1347509345983,False,80882.23177979137,1396.010888345356,False,84308.30788803537,1968.9080136166256,False,90259.28412923546,2894.5806802580446,False,88004.04656031285,4054.727358383009,False,-1.717499941620623,64.96411271614883,79990.71699222445,941.9032042332504,0.0,0.0013944853967823,False,126130.65625,2176.989501953125,False,131473.40234375,3070.385848519541,False,137236.669921875,6323.087424442939,False,False,-2.678331074440892,101.30736985467438,False,False
[MBR2003] CDFS-H  451,53.14729879712,-27.61771333149,2025071100819,-1,i,20250711,i_39,0.0171697664854562,53.14729588195457,-27.61771734085764,745512974053016264,0,1511.9203211953457,3489.5337810619285,0.0542272,0.05968126,53.14729588195457,-27.61771734085764,3.0445378e-06,3.2836933e-06,79998.27240266938,1840.8262929859625,73006.27560713001,1076.0217385531423,False,80469.44165250803,1427.0129861287362,False,85867.91363087068,2026.5479017400664,False,86688.79282379815,2963.9385767756644,False,81140.29414366356,4144.363907185517,False,-3.020866873888812,66.18221637605258,81955.55289090585,996.249703860184,0.0,0.0249691545697298,False,122644.296875,2174.925048828125,False,130872.1630859375,3088.6823294451247,False,123666.75,6316.467306754994,False,False,-4.604134017742688,100.8689910900742,False,False
[MBR2003] CDFS-H  451,53.14729879712,-27.61771333149,2025071100820,-1,i,20250711,i_39,0.0383658223848848,53.14729348020758,-27.617703772158368,745512974187233993,0,1523.938281894866,3483.0693532346754,0.047770515,0.058280397,53.14729348020758,-27.617703772158368,2.7212968e-06,3.1808672e-06,82235.30908226245,1827.9045120214637,73750.07670385236,1067.8860254355425,False,82675.94907628419,1415.8134263692286,False,87657.26678121733,1998.862681662145,False,91677.2888117796,2937.3764050749587,False,92685.49101395214,4109.090806113655,False,-1.1208651181891338,65.00292045393792,82966.70448388133,1021.4450210222006,0.0,0.0002742278440528,False,126650.15625,2168.865234375,False,134280.96875,3062.03041855885,False,141983.63671875,6294.660036615362,False,False,-1.7170379528736424,99.57708528512204,False,False
[MBR2003] CDFS-H  451,53.14729879712,-27.61771333149,2025071200713,-1,r,20250712,r_57,0.0163930721822285,53.14730083528818,-27.617717511697872,745517357872448133,0,952.5126706837416,3022.161669569965,0.04102302,0.03950369,53.14730083528818,-27.617717511697872,2.2734012e-06,2.2017327e-06,71231.62265539383,1324.172965525703,66941.48183587613,787.9713393337564,False,71715.03581789449,1041.065526290643,False,74491.20830131668,1473.7922302683146,False,74114.532119061,2155.37974302468,False,69879.38664000326,3013.3691525773747,False,-2.381708681115944,47.824671419754026,72283.82578200885,645.4303759387042,0.0,0.0009510982352219,False,134680.015625,1955.109130859375,False,139893.6357421875,2767.764923168489,False,131232.6875,5659.0727442925945,False,False,-4.472821615838259,89.81418499781024,False,False
