simbad_id,ra_deg,dec_deg,n_refs,n_matched,n_failed,status
2MASS J10010465+0227361,150.26942247798,2.46013615738,667,664,0,ok
COSMOS 818920,150.39443613882,1.8897533688100003,662,658,0,ok
2MASS J09574311+0217297,149.42965746512,2.29156558826,641,626,0,ok
2MASS J10000154+0215563,150.00644705713,2.2656759800400006,666,663,0,ok
2MASS J10013353+0223542,150.38972736522,2.39848486427,660,653,0,ok
2MASS J09594478+0148011,149.93663596651,1.8003025725000004,673,666,0,ok
2MASS J10010851+0214597,150.28561116441,2.2499227728,666,662,0,ok
2MASS J09575881+0153235,149.49506395014,1.8898853126800008,643,636,0,ok
2MASS J10001512+0213282,150.06300726061,2.22448979058,649,645,0,ok
2MASS J09584090+0139332,149.67028712198,1.65946394657,657,654,0,ok
2MASS J10003140+0138392,150.13082539822,1.6442024067599998,649,640,0,ok
COSMOS 1012754,149.66572483806,1.89308905028,659,652,0,ok
2MASS J10002811+0134471,150.11718520949,1.5797732814700003,655,649,0,ok
2MASS J09574662+0212126,149.44422454484,2.20346882432,651,650,0,ok
2MASS J10013489+0222312,150.39539160246,2.3754458767000006,652,645,0,ok
2MASS J10000242+0227596,150.01008645897,2.46657411204,671,666,0,ok
COSMOS 2629206,150.40168379293,2.64604281437,667,662,0,ok
2MASS J09580990+0130047,149.54123644265,1.5013170642300002,651,643,0,ok
2MASS J09595314+0201114,149.97144447223,2.01981484124,651,644,0,ok
COSMOS 2505086,149.43951089988,2.48577945628,661,654,0,ok
COSMOS 3087698,149.98382426179,2.84143183325,652,648,0,ok
2MASS J09594833+0227115,149.95130349682,2.4532967557099994,636,626,0,ok
2MASS J10023690+0215535,150.6537928469,2.26483888594,660,658,0,ok
COSMOS 328225,149.49905215439,1.5782094057,639,633,0,ok
2MASS J10015586+0201405,150.48277535345,2.0279120416,641,627,0,ok
COSMOS 1208914,150.3063773063,2.0765335394800006,610,604,0,ok
2MASS J10000116+0207523,150.00490572617,2.1312085001,655,650,0,ok
COSMOS 227590,149.90034121172,1.5353818977,657,652,0,ok
COSMOS 2378824,149.94298747838,2.51409705388,655,647,0,ok
2MASS J10020189+0223124,150.5078701399,2.3867731976700006,667,589,0,ok
2MASS J09575810+0210454,149.49205775611,2.17924653275,652,648,0,ok
COSMOS 2556176,150.69601436864,2.77871498576,660,653,0,ok
2MASS J09585059+0144356,149.71080766703,1.74323827692,667,664,0,ok
2MASS J09595175+0157223,149.96565792702,1.9562208816799995,644,638,0,ok
2MASS J09575448+0135471,149.47696654797,1.59645376468,655,647,0,ok
2MASS J10015653+0210397,150.48555048882,2.17770960985,674,5,0,ok
2MASS J09584761+0145361,149.69835607585,1.7600216825000004,662,655,0,ok
COSMOS 1165950,150.45893149073,2.0963265683,665,659,0,ok
2MASS J09592115+0219524,149.83820076546,2.33128396564,642,640,0,ok
2MASS J09580250+0136496,149.51031268804,1.61368896989,647,642,0,ok
2MASS J10011319+0246394,150.30495270999,2.77768161663,639,633,0,ok
COSMOS 2138535,149.50295119146,2.3739030787,651,648,0,ok
2MASS J09585831+0250238,149.7429992755256,2.8399435858385003,662,655,0,ok
2MASS J09593715+0234305,149.90481638031,2.57516020281,662,659,0,ok
2MASS J10022011+0204270,150.58383117226,2.07415977987,644,639,0,ok
COSMOS 697022,149.48096411487,1.7290052136500005,649,639,0,ok
COSMOS 2483392,149.54034281345,2.57811903738,666,661,0,ok
COSMOS 1442669,150.81435834267,2.2927381730300005,645,638,0,ok
2MASS J09574605+0148598,149.44193591321,1.81664596636,655,652,0,ok
2MASS J10025775+0147092,150.74068129161,1.7858784529699998,663,657,0,ok
COSMOS 1744848,149.62131264653,2.18381696378,651,650,0,ok
COSMOS 3085741,149.95280009623,2.8466601988800004,655,650,0,ok
2MASS J10020398+0223352,150.51663592979,2.3931374862,665,661,0,ok
2MASS J10000278+0224237,150.01157313839,2.4066218317700003,666,663,0,ok
COSMOS 488991,150.28522426293,1.7430478780800005,654,643,0,ok
2MASS J10002034+0244114,150.08473456878,2.73659077486,660,654,0,ok
2MASS J10023814+0140043,150.6589672066,1.66776808842,662,658,0,ok
COSMOS 2664654,150.31210180175,2.66403056652,655,653,0,ok
2MASS J10025422+0219083,150.72593427563,2.31900280038,663,657,0,ok
COSMOS 989705,149.75043402497,1.82421959746,646,639,0,ok
2MASS J10011652+0159242,150.31886256907,1.99006426673,659,649,0,ok
COSMOS J100100.06+015337.9,150.25026237417,1.8938336741200004,649,641,0,ok
2MASS J09583830+0239549,149.65963616328,2.66527698326,663,655,0,ok
2MASS J10001155+0202329,150.04815596601,2.04243171482,651,645,0,ok
2MASS J10005906+0213348,150.24594771306,2.22630517512,693,689,0,ok
2MASS J10023218+0241436,150.63412849162,2.69547874232,647,640,0,ok
2MASS J09585709+0143343,149.73788442167,1.7261629958300002,669,661,0,ok
2MASS J09594746+0237032,149.94780319898,2.61759086345,655,650,0,ok
2MASS J10024402+0140513,150.68343316693,1.68093404782,658,649,0,ok
COSMOS 846976,150.35758057924,1.94215505118,666,659,0,ok
2MASS J10025254+0203165,150.71893102653,2.05458739265,660,655,0,ok
2MASS J09584106+0134239,149.67112995185,1.57331888661,656,653,0,ok
2MASS J10014575+0136452,150.44066108578,1.61257195118,644,624,0,ok
2MASS J09594258+0250019,149.92739847569,2.8338899212000004,664,659,0,ok
2MASS J10015585+0227306,150.48272693998,2.4585053522,667,663,0,ok
COSMOS 818994,150.45188420373,1.88902376298,651,647,0,ok
2MASS J10022748+0227095,150.61451884412,2.4526675115500005,652,639,0,ok
COSMOS 1485937,150.71142699536,2.25896849696,671,667,0,ok
2MASS J10020819+0216197,150.53421453226,2.2721101883,662,656,0,ok
COSMOS 2249230,150.50637808252,2.5794055446700006,645,641,0,ok
2MASS J09580379+0206378,149.51578943441,2.11048070707,674,674,0,ok
COSMOS 1528539,150.52584082139,2.25932129859,677,673,0,ok
2MASS J10020177+0229314,150.50736509336,2.492057567,657,654,0,ok
2MASS J09575883+0205036,149.49511535321,2.08433529599,657,641,0,ok
COSMOS 2804135,149.61873031864,2.75211558302,663,657,0,ok
2MASS J09582860+0213401,149.61919585113,2.22784793425,645,641,0,ok
2MASS J09584767+0207318,149.69866346775,2.12548581973,665,657,0,ok
2MASS J09585717+0239065,149.73825099962,2.65177125381,661,2,0,ok
2MASS J09581997+0139168,149.58322350373,1.6546897157399998,652,644,0,ok
2MASS J09585397+0153036,149.72495499597,1.88441444399,651,647,0,ok
COSMOS 1162157,150.42312951386,2.11366992991,671,667,0,ok
COSMOS 1740052,149.62174488522,2.20360676038,639,636,0,ok
2MASS J09590208+0220130,149.75870032329,2.3369654536499995,673,670,0,ok
2MASS J10031240+0231365,150.80168918599,2.52685031847,654,645,0,ok
2MASS J10012898+0231025,150.37078865537,2.51745969456,664,660,0,ok
2MASS J10031663+0250007,150.8193246769,2.8335405390800004,651,638,0,ok
2MASS J09595592+0201378,149.983004801,2.0271494330499995,647,644,0,ok
2MASS J09584414+0135378,149.68388901668,1.5938580316099995,653,646,0,ok
COSMOS 1667992,149.90522293287,2.1707208504,650,648,0,ok
2MASS J09584637+0250296,149.69319730796,2.84157038793,653,649,0,ok
2MASS J09595063+0223163,149.96097355071,2.38775847099,662,654,0,ok
COSMOS 2806975,149.68789652989,2.7411841565400006,668,664,0,ok
2MASS J10031111+0247009,150.79630687721,2.7835862280300003,663,657,0,ok
2MASS J09584588+0135296,149.69118207433,1.59156576107,651,642,0,ok
COSMOS 188833,150.08390979652,1.539243564,664,656,0,ok
2MASS J09593931+0215380,149.91385212185,2.2605748235199994,667,661,0,ok
2MASS J10000333+0157387,150.01395676769,1.96072275101,656,651,0,ok
2MASS J10010662+0229053,150.27758940143,2.48483615896,658,650,0,ok
COSMOS 3129312,149.78479070636,2.82602778564,663,655,0,ok
COSMOS 286759,149.64389095259,1.58900997491,660,653,0,ok
COSMOS 2969232,150.46322743301,2.88797527985,651,640,0,ok
COSMOS 1672031,149.89586188621,2.15530966009,638,634,0,ok
2MASS J10014197+0230176,150.42487461694,2.50488209026,651,645,0,ok
2MASS J10013025+0149212,150.37611425504,1.8226380478100004,647,642,0,ok
COSMOS 2826853,149.6682017193,2.66125957384,648,643,0,ok
2MASS J10000111+0234550,150.00463267559,2.58198785723,647,637,0,ok
2MASS J09584117+0235298,149.67157848183,2.5916560271199995,653,647,0,ok
COSMOS 2104441,149.71245619378,2.35638937789,650,650,0,ok
2MASS J10003032+0246300,150.12636269136,2.7750423712900005,662,657,0,ok
2MASS J09590382+0129573,149.76588637635,1.49924983203,660,653,0,ok
2MASS J10000296+0157422,150.01235230609,1.9616890032500005,656,652,0,ok
COSMOS 1451243,150.76848193839,2.2519285960899995,661,655,0,ok
COSMOS 1640425,149.91404519429,2.28747445065,657,654,0,ok
COSMOS 1487323,150.59513598239,2.25299282214,625,618,0,ok
COSMOS 1855529,150.68363892764,2.40959940634,660,656,0,ok
zCOSMOS 800468,150.52486910773,1.6148513881999995,650,644,0,ok
COSMOS 2808763,149.6196373992,2.73397867678,658,654,0,ok
2MASS J10025588+0207048,150.73283600487,2.1179947663600003,665,660,0,ok
2MASS J10001073+0232380,150.04473927644,2.54389308629,671,665,0,ok
2MASS J09594045+0139446,149.91867296399,1.66232324496,652,648,0,ok
2MASS J09594723+0241038,149.94680958223,2.68439192655,669,663,0,ok
2MASS J10014687+0154455,150.44530564013,1.91267986329,635,490,0,ok
2MASS J09595274+0209400,149.96980747723,2.16112204462,654,646,0,ok
COSMOS 1644861,149.95953098905,2.26826626338,650,648,0,ok
2MASS J10021967+0223062,150.58202625292,2.3850912308,645,638,0,ok
COSMOS 191647,150.11998345953,1.52737873944,655,650,0,ok
2MASS J10025658+0215081,150.73569799507,2.2522956078,663,658,0,ok
2MASS J10031100+0221333,150.7958856332,2.3593204248300004,624,620,0,ok
COSMOS 1354287,149.66455554096,2.12205717978,652,648,0,ok
COSMOS 2533256,150.72904827841,2.72668470441,657,648,0,ok
2MASS J10011419+0252006,150.30918571303,2.8668919832699995,650,646,0,ok
COSMOS 453297,150.52291581748,1.72851653007,646,641,0,ok
2MASS J10011534+0202304,150.31392509101,2.0418282007500004,622,618,0,ok
2MASS J10004414+0142195,150.18396699588,1.70539866357,668,253,0,ok
COSMOS 1722290,149.66499908708,2.275570309470001,639,637,0,ok
COSMOS 3035807,150.10861490539,2.9085681609700003,649,643,0,ok
2MASS J09591139+0149591,149.79748915017,1.8330754247,650,642,0,ok
COSMOS 2824803,149.65605641763,2.66346628181,656,641,0,ok
2MASS J09594108+0149129,149.92112205264,1.8202347880500005,673,668,0,ok
2MASS J10021709+0241016,150.57122077685,2.68384938395,646,639,0,ok
COSMOS 171529,150.14681551726,1.6124659005200002,653,648,0,ok
COSMOS 1824536,150.73599462031,2.3895370289800004,660,655,0,ok
2MASS J10021557+0229323,150.56471920489,2.4923922325100003,638,633,0,ok
2MASS J09575930+0229501,149.49707767324,2.4972962319,661,655,0,ok
2MASS J10003473+0156234,150.14467311002,1.93984160989,664,658,0,ok
COSMOS 2593934,150.53429000897,2.62724114708,664,659,0,ok
COSMOS 941637,149.90570040585,1.86547989072,666,663,0,ok
COSMOS 2712509,150.2051839561,2.6351697835299994,660,657,0,ok
2MASS J09593418+0231104,149.89245839056,2.51962688127,644,636,0,ok
COSMOS 2211630,150.72641934103,2.5653323138700004,656,649,0,ok
COSMOS 1014787,149.63221474309,1.8862670381400004,670,664,0,ok
2MASS J10012138+0144583,150.33911790471,1.74952638049,665,661,0,ok
2MASS J10031491+0217385,150.81214433139,2.2940885939,653,648,0,ok
2MASS J09592251+0225459,149.84387914818,2.4294852017399995,648,644,0,ok
2MASS J09581541+0201455,149.56425394087,2.02933379684,651,647,0,ok
COSMOS 412497,150.71924303018,1.7239248077899998,658,654,0,ok
2MASS J10005543+0132151,150.23101252942,1.53733869043,666,660,0,ok
2MASS J10024276+0140296,150.67828518477,1.6749138949299998,657,654,0,ok
COSMOS 2531042,150.81584876545,2.73722881871,668,663,0,ok
COSMOS 2748185,149.90571745618,2.6531953795200005,673,666,0,ok
2MASS J10010799+0156204,150.2833306617,1.93897697839,654,16,0,ok
2MASS J10004695+0222411,150.19568516373,2.37810638873,653,649,0,ok
COSMOS 2412235,149.76209787941,2.54627766022,667,660,0,ok
2dFGRS TGN420Z217,149.53307394515,2.2524430342,664,661,0,ok
2MASS J09590280+0135269,149.76167098151,1.5908450218699997,652,648,0,ok
2MASS J09591729+0242439,149.82207273925,2.71219810208,664,660,0,ok
COSMOS 2510244,149.48463576855,2.4645863890400004,651,648,0,ok
COSMOS 2153919,149.44621310666,2.31260896344,659,653,0,ok
2MASS J10015464+0221019,150.47763829015,2.35056516279,678,673,0,ok
2MASS J10021560+0230358,150.56502269436,2.50996964375,648,644,0,ok
2MASS J09592199+0217156,149.84173002824,2.28771343462,631,623,0,ok
COSMOS 1240812,150.17503950114,2.09847290551,663,658,0,ok
COSMOS 1451816,150.76205197143,2.24933111903,671,667,0,ok
