simbad_id,ra_deg,dec_deg,n_refs,n_matched,n_failed,status
2MASS J03331899-2741450,53.32917053767,-27.69587931725,269,251,0,ok
2MASS J03325932-2746386,53.24723341140001,-27.77735985898,247,229,0,ok
2MASS J03330935-2807257,53.28899919136,-28.12383708928,257,246,0,ok
2MASS J03323625-2733265,53.15107148078,-27.55739361262,271,264,0,ok
2MASS J03321314-2738547,53.05479291417001,-27.64858585752,253,8,0,ok
2MASS J03323582-2732584,53.14927238553,-27.549563774069995,274,264,0,ok
GNS 5893,53.04279613344,-27.71869272574,266,252,0,ok
2MASS J03325252-2758366,53.21884326946,-27.97686122701,270,258,0,ok
2MASS J03315706-2757540,52.98774262540001,-27.96499355074,267,253,0,ok
2MASS J03324564-2733552,53.19019162393,-27.565389801090003,275,266,0,ok
2MASS J03312103-2749102,52.83759576349,-27.819515709390004,271,256,0,ok
2MASS J03314908-2756543,52.9545090115,-27.948369326329995,265,243,0,ok
2MASS J03320608-2736306,53.02537629823,-27.60852593234,262,250,0,ok
2MASS J03331629-2747014,53.31790957935,-27.78376906518,270,256,0,ok
2MASS J03321344-2756517,53.05601512258,-27.94771008359,270,250,0,ok
2MASS J03320534-2758524,53.02224865026,-27.98125552413,259,243,0,ok
2MASS J03313900-2758166,52.9125433581,-27.97126653803999,265,255,0,ok
2MASS J03332231-2741253,53.3429965355,-27.690373478049995,267,251,0,ok
2MASS J03315738-2801493,52.98916277189,-28.03038311372,283,269,0,ok
2MASS J03323186-2741059,53.13280362957,-27.68498087722,262,248,0,ok
2MASS J03322080-2735503,53.08670359136,-27.59735879248,262,256,0,ok
2MASS J03322421-2733041,53.10089160391999,-27.55116768241,272,264,0,ok
2MASS J03322643-2733453,53.110178524530006,-27.56264478459,268,261,0,ok
2MASS J03321934-2735154,53.08060616675001,-27.58766372174,261,250,0,ok
2MASS J03324077-2801511,53.16980804817,-28.030783158330003,270,257,0,ok
2MASS J03315289-2802315,52.97051143174001,-28.04214143639,284,271,0,ok
2MASS J03313431-2801371,52.89293996164001,-28.02697454506,280,264,0,ok
2MASS J03323161-2742082,53.13180701531,-27.702295156550004,256,242,0,ok
2MASS J03333895-2734322,53.4123523187278,-27.5754238859648,266,253,0,ok
2MASS J03331437-2801591,53.309867826250006,-28.03315128895,261,246,0,ok
2MASS J03332882-2803512,53.37011469779999,-28.06427917455,268,261,0,ok
2MASS J03311859-2747237,52.82747991401,-27.790045316640004,269,254,0,ok
2MASS J03311212-2756599,52.80056427243001,-27.95000165814,278,264,0,ok
2MASS J03311822-2800566,52.82599719812999,-28.01566467437,273,258,0,ok
2MASS J03315295-2750182,52.97070014645,-27.838358341340005,267,253,0,ok
2MASS J03330296-2744494,53.26231935002,-27.74707839969,252,238,0,ok
2MASS J03324567-2802098,53.19033424769,-28.03607684048,253,237,0,ok
2MASS J03314853-2737385,52.9521679780289,-27.6275001274405,268,256,0,ok
2MASS J03323656-2801300,53.15238710489,-28.02494625762,272,257,0,ok
2MASS J03331107-2743300,53.296144021,-27.72500321861,271,259,0,ok
2MASS J03320626-2745426,53.02604603951001,-27.76189579819,285,268,0,ok
2MASS J03322723-2756520,53.11345873222,-27.94771809804,259,245,0,ok
2MASS J03330695-2740253,53.27896819338001,-27.67372145123,272,260,0,ok
[GGH2002] EIS J033243.83-274605.6,53.18257977999,-27.76822663708,266,253,0,ok
2MASS J03333845-2804142,53.41022495823,-28.07065392464,267,257,0,ok
2MASS J03323318-2742216,53.1383236471,-27.70600659592,268,254,0,ok
[GGH2002] EIS J033123.64-273434.8,52.84848302391,-27.576349550500005,269,257,0,ok
[GGH2002] EIS J033127.42-275128.6,52.86425754026,-27.857971493699992,272,255,0,ok
2MASS J03315442-2801308,52.97675,-28.025222222222222,275,0,0,no_match
2MASS J03323770-2740297,53.15708939628,-27.674936856890003,263,251,0,ok
2MASS J03332552-2801594,53.35639238694,-28.03320176588,254,241,0,ok
2MASS J03332767-2734562,53.36532840238,-27.582295864,253,242,0,ok
2MASS J03330908-2750479,53.28784926485,-27.84665252104,280,268,0,ok
2MASS J03332154-2733414,53.33974287293,-27.5615356428,268,256,0,ok
2MASS J03331399-2800117,53.30833924764,-28.00330941467,262,248,0,ok
2MASS J03314424-2733491,52.93432595721999,-27.56363887525,282,268,0,ok
[WDK2001] 17240,53.30159604055999,-27.93474941739,272,258,0,ok
2MASS J03311681-2749007,52.82004331565,-27.81689651322,283,267,0,ok
2MASS J03333407-2757244,53.39189276007999,-27.956771560730004,265,253,0,ok
2MASS J03321089-2753297,53.04530061734,-27.89163220907,263,247,0,ok
2MASS J03333981-2757427,53.41593623151,-27.96190175124,250,233,0,ok
[GGH2002] EIS J033300.97-274407.5,53.25402209768999,-27.73536500612,230,217,0,ok
2MASS J03322235-2749256,53.09308917900999,-27.82386079493,280,262,0,ok
2MASS J03311695-2801150,52.82065547451,-28.02082539214,270,255,0,ok
[WDK2001] 10734,52.91005373712001,-27.98606682969,275,255,0,ok
[GGH2002] EIS J033141.33-273257.3,52.922211665190005,-27.54927395458,282,267,0,ok
[MBR2003] CDFS-H 4802,53.38249569687,-28.01998833428,274,262,0,ok
[MBR2003] CDFS-H 4108,53.2846616546,-27.93262158531,275,261,0,ok
[MBR2003] CDFS-H 3482,53.39110498172,-27.809979923299995,271,258,0,ok
2MASS J03315826-2736334,52.99276431439999,-27.60931486411,277,265,0,ok
2MASS J03323443-2759437,53.14349049227,-27.99558123321,279,266,0,ok
[GGH2002] EIS J033342.41-280253.0,53.42665526471,-28.048040649890005,270,259,0,ok
2MASS J03333926-2735357,53.4135830627,-27.59322324775,250,246,0,ok
2MASS J03320813-2741403,53.03388316771999,-27.69464529837,269,254,0,ok
[MBR2003] CDFS-H  202,52.99345262055,-27.597007610530003,278,266,0,ok
2MASS J03331839-2756099,53.32666428393001,-27.93612958232,285,272,0,ok
2MASS J03311454-2750292,52.81058371512,-27.84146031965,261,246,0,ok
