simbad_id,target_ra,target_dec,visit,expMidptMJD,obsStartMJD,band_visit,airmass,zenithDistance,azimuth,mean_maglim,expTime,skyRotation,ra_visit,dec_visit,detector,band,day_obs,physical_filter,sep_arcsec,src_ra,src_dec,sourceId,parentSourceId,x,y,xErr,yErr,ra,dec,raErr,decErr,calibFlux,calibFluxErr,ap09Flux,ap09FluxErr,ap09Flux_flag,ap12Flux,ap12FluxErr,ap12Flux_flag,ap17Flux,ap17FluxErr,ap17Flux_flag,ap25Flux,ap25FluxErr,ap25Flux_flag,ap35Flux,ap35FluxErr,ap35Flux_flag,sky,skyErr,psfFlux,psfFluxErr,extendedness,sizeExtendedness,apFlux_12_0_flag,apFlux_12_0_instFlux,apFlux_12_0_instFluxErr,apFlux_17_0_flag,apFlux_17_0_instFlux,apFlux_17_0_instFluxErr,apFlux_35_0_flag,apFlux_35_0_instFlux,apFlux_35_0_instFluxErr,extendedness_flag,sizeExtendedness_flag,localBackground_instFlux,localBackground_instFluxErr,localBackground_flag,sky_source
zCOSMOS 817355,150.3571916666667,1.9759500000000003,2025051500122,60811.04208450287,60811.04191088608,i,1.3389695653925,41.7286617120772,315.863814892458,23.0947322845459,30.0009815692902,66.9260943836124,150.196619943333,2.24904378466042,-1,i,20250515,i_39,0.2199867314844534,150.35713160744118,1.975938541586837,745262191869429815,745262191869428890,500.2652973452389,2901.407100306189,0.016087065,0.017453326,150.35713160744118,1.975938541586837,9.584111e-07,9.061071e-07,132741.9228228046,1336.3209605272816,127737.26250350784,824.3360768952373,False,134818.08000312705,1094.722241723745,False,140628.02542977646,1497.7067799937652,False,143051.0005768028,2124.0153497601946,False,144320.23574193628,2924.415171274884,False,1.7058179800378994,45.40501618192233,126381.18420976005,549.4677211475226,0.0,0.0007050316526382,False,203400.90625,1651.614501953125,False,212166.4083622992,2259.599872216214,False,217736.86985783064,4412.084017772419,False,False,2.573578581071659,68.50284056474253,False,False
zCOSMOS 817355,150.3571916666667,1.9759500000000003,2025051500123,60811.04255635306,60811.04238273554,i,1.33940659072419,41.7500538298419,315.648969791581,23.383981704711914,30.0011069774628,65.9196921779908,150.239941185581,2.17983774353643,-1,i,20250515,i_39,0.2367236601711866,150.35712742698018,1.975935783967016,745262192003647984,745262192003646745,1939.703734855769,2604.19073054151,0.01081054,0.011834192,150.35712742698018,1.975935783967016,6.48358e-07,6.106044e-07,126935.05761162276,1152.778352050981,124012.38031576813,715.2186328909685,False,127160.9488461678,955.5515983703484,False,128264.29104203769,1289.831766626667,False,131303.8528890959,1813.49531214016,False,130000.4018052014,2485.3950096656063,False,1.47156311326588,38.28664137772121,127387.24256406016,458.636856711962,0.0,0.0089407080815374,False,210297.15625,1580.279052734375,False,212121.84950895607,2133.107333845411,False,214993.00735844672,4110.314585045421,False,False,2.433652318343309,63.31795946127056,False,False
zCOSMOS 817355,150.3571916666667,1.9759500000000003,2025051500124,60811.0430310299,60811.042857418826,i,1.34143395204244,41.847146577369,315.473691415296,23.480789184570312,29.9999928474426,64.9421737412949,150.259178145273,2.186500413603,-1,i,20250515,i_39,0.2362140409758097,150.35712748547826,1.9759361796541488,745262192137865776,745262192137864274,1966.30900493044,2159.569943334254,0.009956194,0.01159502,150.35712748547826,1.9759361796541488,6.287663e-07,5.707359e-07,129500.4389331709,1098.8642140483864,126224.00034878394,685.3104242936312,False,129990.87709633772,915.1553582667368,False,131094.21688130827,1230.7794093096172,False,134754.03105015014,1724.9415445991958,False,136752.6605594136,2360.721748348224,False,2.8442521597771826,36.42512020575734,126689.28209215232,441.2755618450791,0.0,0.0018271882840605,False,221385.015625,1558.5838623046875,False,223264.09284173697,2096.1172418199985,False,232900.8817462549,4020.500767580967,False,False,4.843992308529869,62.03493649725732,False,False
zCOSMOS 817355,150.3571916666667,1.9759500000000003,2025051500125,60811.04351116055,60811.043337543146,i,1.34177186520949,41.8631375989711,315.055045014038,23.453569412231445,30.001086473465,63.78252165020189,150.201346740288,2.02906366294868,-1,i,20250515,i_39,0.2252121456483116,150.35713005596588,1.9759389431483587,745262192273656144,745262192273653783,4038.517260377075,44.64441729136978,0.009728905,0.011328109,150.35713005596588,1.9759389431483587,6.130053e-07,5.59191e-07,135339.3521528286,1134.8898823724155,132217.19831794754,704.9533305983731,False,135969.34103227642,943.4581389604136,False,136616.5600256103,1271.2186858190212,False,138190.2465202228,1787.5933731790567,False,137661.12196407505,2449.9162032051545,False,1.5902683611683386,38.3317738563976,125030.28233800028,432.1046987104009,0.0,3.740905368188052e-05,False,227541.015625,1578.8516845703125,False,228624.11910963056,2127.35009713752,False,230372.1652688384,4099.868520662431,False,False,2.6612711017747137,64.14718706272241,False,False
zCOSMOS 817355,150.3571916666667,1.9759500000000003,2025051500126,60811.043985125616,60811.04381150869,i,1.34841987925317,42.1788033579387,314.733928559014,23.41400146484375,30.0010056495667,62.6845216369431,150.008579191302,2.14657537822305,-1,i,20250515,i_39,0.223588351384753,150.35713064629184,1.9759382386755624,745262192407874064,745262192407872570,518.3466155234257,2111.8061440172733,0.010299706,0.01233296,150.35713064629184,1.9759382386755624,6.62893e-07,5.9795383e-07,135723.60308447367,1127.5239397622615,133455.80233354852,704.4580441000664,False,136619.35838302484,938.3660749259044,False,139499.88074137073,1263.9983331508347,False,142569.83992900027,1774.5645871948725,False,142926.09906475246,2433.108497375286,False,2.459126156543072,37.3037918713175,130790.86485089349,452.97863223006266,0.0,0.0009203407600105,False,230434.46875,1582.732421875,False,235293.01622983068,2131.9730076897263,False,241071.98348977417,4103.899115320754,False,False,4.147782833846491,62.91992265201336,False,False
zCOSMOS 817355,150.3571916666667,1.9759500000000003,2025051500127,60811.04445870916,60811.04428509153,i,1.34727578035436,42.1246010957898,314.818484430227,23.204753875732422,30.0011277198792,61.90898188234289,150.257475514334,2.13893030476254,-1,i,20250515,i_39,0.2374707225672117,150.35712730260664,1.9759353899341083,745262192540518647,745262192540517416,2697.020291328849,2382.1020663480426,0.012751471,0.013507535,150.35712730260664,1.9759353899341083,7.4136517e-07,7.1830397e-07,128160.13845610218,1312.7835270284795,125991.4125535366,810.9275800191904,False,129378.6075585168,1081.91485849139,False,131625.7735111911,1470.1795858575404,False,136272.7296029921,2090.3212560217885,False,136042.1534250648,2877.279509433272,False,3.162144369441008,44.418990102631774,126955.33167902732,510.27045117715227,0.0,0.0018596413803662,False,198097.796875,1656.57177734375,False,201538.540540725,2251.06254012862,False,208300.6718359292,4405.540781187598,False,False,4.841711043331705,68.01204808734656,False,False
zCOSMOS 817355,150.3571916666667,1.9759500000000003,2025051500128,60811.0449378077,60811.0447641909,i,1.35398666744178,42.4388014264473,314.484956234345,22.913116455078125,30.000983953476,60.8001529111951,150.059933281567,2.24826985799499,-1,i,20250515,i_39,0.2245238390216813,150.35712993434151,1.975940868473506,745262192672638660,745262192672636989,3496.035949818164,222.4806745048291,0.019140149,0.018428983,150.35712993434151,1.975940868473506,1.0334202e-06,1.0542597e-06,130010.04132830404,1584.136376239566,124528.06796699374,966.5087210637504,False,131184.69658530067,1286.4563161500796,False,134139.40589148123,1774.052074757073,False,136896.0549482812,2531.243631351732,False,138940.66261132772,3501.1529310005258,False,2.652678202054636,55.56863586775123,124366.08388397316,622.2053457705116,0.0,0.0003882390874013,False,176559.015625,1731.4173583984375,False,180535.7033037953,2387.663318510085,False,186997.62441414225,4712.135875148272,False,False,3.570189696784653,74.78878180012934,False,False
zCOSMOS 817355,150.3571916666667,1.9759500000000003,2025051500129,60811.04541385244,60811.04524023525,i,1.35846090575357,42.6456832294959,314.264557374484,23.265914916992188,30.0010495185852,59.7800649619012,149.986389229621,2.31879454970335,-1,i,20250515,i_39,0.2262282234313231,150.35712984438217,1.9759385299515209,745262192806856881,745262192806854935,1701.1926194911266,599.0289666777046,0.014246413,0.013972693,150.35712984438217,1.9759385299515209,7.8013284e-07,7.876943e-07,129045.27092745222,1212.1298615180715,125637.25719132953,751.8388002450181,False,130917.1596004707,1000.0953672991126,False,134520.24086230088,1357.1876423881463,False,139738.35238562356,1919.3522074423263,False,143286.7731118702,2635.106843609692,False,3.540967337054532,41.31212067676018,127269.67224134978,497.34829002764496,0.0,0.0022705827400566,False,212229.8125,1621.254638671875,False,218070.7676731348,2200.1369396523155,False,232282.19344252348,4271.771806258627,False,False,5.740262287274721,66.97108042951051,False,False
zCOSMOS 817355,150.3571916666667,1.9759500000000003,2025051500131,60811.046363020694,60811.04618940348,i,1.35864145819753,42.6538944636557,313.824115226244,23.294015884399414,30.0010547637939,57.755673851424106,150.090348375279,2.13982313283965,-1,i,20250515,i_39,0.2231003243772533,150.35713086169326,1.9759378460615988,745262193078962456,745262193078960331,1076.108980422755,423.0560116367583,0.011619145,0.013699417,150.35713086169326,1.9759378460615988,7.299492e-07,6.806516e-07,129862.05979789044,1165.7690256945075,127261.86715981724,726.7903624551253,False,129864.22123045752,965.8260210722592,False,132103.42554636003,1302.7868026434496,False,132631.68060536208,1838.4324829437105,False,129955.65185046224,2522.251868760395,False,0.3508090617584535,39.18897301071458,128811.96803775706,476.3551514492853,0.0,0.0002653290334988,False,214838.46875,1597.79638671875,False,218542.85493034124,2155.24121375152,False,214989.7253025174,4172.640656156501,False,False,0.5803544728309985,64.8315515523408,False,False
zCOSMOS 817355,150.3571916666667,1.9759500000000003,2025051500132,60811.04684006958,60811.0466664529,i,1.36161902477818,42.7900092110166,313.594424871381,22.890514373779297,30.0009620189667,56.7294069862746,150.055190445815,2.14862204899509,-1,i,20250515,i_39,0.2240850633922066,150.3571305616711,1.9759379515778792,745262193213179469,745262193213178098,548.8270918900001,767.7218864698325,0.016429443,0.017372763,150.3571305616711,1.9759379515778792,9.497345e-07,9.290621e-07,139161.2950887587,1922.478904344684,136396.94146523188,1169.687542815588,False,141580.20781974212,1562.9174039267525,False,145679.59543302908,2167.5125064578165,False,150366.76510585874,3116.6474420208483,False,154552.81090649523,4320.353476059346,False,4.370979647280469,68.92927829901528,128948.86798720573,664.3819018082612,0.0,0.0053046322456372,False,166212.21875,1834.83251953125,False,171024.8145302534,2544.614592778492,False,181441.78491052985,5072.005106493188,False,False,5.131439178352962,80.92153881778658,False,False
